Wops(A),Pops(A),Wera(D),Pera(D),winsW
.716,.756,4.01,3.54,1
.715,.757,4.02,3.53,0
.714,.761,4.06,3.53,0
.712,.761,4.05,3.51,0
.713,.750,4.10,3.51,0
.712,.751,4.13,3.49,0
.709,.751,4.10,3.46,0
.674,.692,5.48,3.60,0
.669,.694,5.50,3.56,0
.663,.689,5.46,3.51,0
.712,.734,4.95,3.73,1
.717,.731,4.91,3.79,1
.716,.730,4.91,3.76,0
.719,.737,5.01,3.80,0
.784,.740,4.80,3.14,0
.781,.742,4.80,3.15,0
.785,.747,4.86,3.21,0
.774,.753,4.93,3.35,0
.776,.758,4.99,3.33,0
.778,.760,5.03,3.39,0
.693,.710,4.90,3.89,1
.696,.708,4.83,3.94,1
.698,.711,4.78,3.97,1
.701,.707,4.71,3.97,1
.743,.760,4.76,3.47,1
.744,.758,4.74,3.47,1
.743,.759,4.75,3.45,0
.681,.891,3.29,4.61,0
.666,.893,3.49,4.42,0
.644,.874,3.48,4.20,0
.679,.801,3.38,3.43,0
.677,.793,3.31,3.39,1
.678,.792,3.41,3.38,0
