Wops(A),Pops(A),Wera(D),Pera(D),winsW
.719,.691,4.01,4.03,1
.715,.691,4.03,3.97,0
.719,.691,4.00,3.99,1
.714,.680,3.98,3.86,0
.713,.677,3.93,3.83,1
.713,.684,4.06,3.82,0
.710,.684,4.07,3.79,0
.696,.742,5.47,4.07,0
.696,.741,5.46,4.05,0
.694,.743,5.46,4.04,0
.708,.739,5.05,3.98,0
.708,.739,5.03,4.00,1
.709,.738,5.00,4.00,1
.709,.736,4.97,4.01,1
.766,.749,5.28,4.65,0
.767,.749,5.28,4.65,0
.769,.747,5.24,4.65,1
.760,.758,5.27,4.68,0
.760,.762,5.27,4.68,0
.759,.762,5.29,4.66,0
.758,.760,5.28,4.67,1
.689,.621,5.16,4.63,1
.681,.623,5.18,4.48,0
.684,.626,5.21,4.50,0
.736,.663,4.68,4.85,1
.733,.662,4.65,4.82,0
.732,.662,4.65,4.79,0
.730,.664,4.65,4.76,0
.638,.647,3.30,5.16,1
.639,.632,3.08,4.93,1
.656,.617,2.82,4.98,1
.750,.667,4.24,4.72,1
.752,.668,4.24,4.75,1
.751,.666,4.21,4.75,1
.748,.667,4.20,4.71,0
