Wops(A),Pops(A),Wera(D),Pera(D),winsW
.634,.550,3.68,4.86,1
.674,.577,4.13,5.31,1
.657,.566,3.92,5.08,1
.646,.587,3.89,4.89,0
.658,.612,3.97,4.89,1
.666,.604,3.87,4.87,1
.670,.627,4.07,4.78,0
.718,.689,4.01,4.32,0
.719,.692,4.05,4.30,0
.716,.696,4.08,4.26,0
.707,.697,4.11,4.23,0
.711,.699,4.14,4.28,1
.710,.701,4.14,4.25,0
.713,.710,4.20,4.25,0
.713,.710,4.22,4.24,0
.715,.710,4.21,4.25,1
.715,.710,4.18,4.30,1
.717,.711,4.20,4.32,1
.717,.712,4.22,4.32,0
.684,.732,5.34,5.69,1
.687,.730,5.19,5.69,1
.690,.745,5.33,5.68,0
.688,.748,5.32,5.62,0
.661,.726,5.55,4.52,0
.666,.726,5.54,4.57,1
.668,.728,5.54,4.56,0
.695,.714,5.44,4.51,1
.694,.717,5.48,4.47,0
.691,.713,5.42,4.42,1
.707,.728,5.02,4.23,1
.709,.730,5.02,4.27,1
.709,.732,5.04,4.26,0
.721,.732,4.85,4.17,1
.722,.731,4.84,4.16,1
.721,.731,4.86,4.13,0
.719,.729,4.93,4.09,0
.720,.728,4.91,4.10,1
.720,.727,4.88,4.09,1
.775,.728,2.73,3.42,0
.765,.755,3.40,3.39,0
.794,.767,3.53,3.72,1
.776,.764,3.49,3.58,0
.749,.770,4.18,4.10,0
.743,.783,4.38,3.96,0
.750,.793,4.57,3.96,0
.782,.768,5.28,4.23,1
.780,.768,5.25,4.24,1
.780,.774,5.32,4.22,0
.767,.754,5.24,4.18,1
.767,.756,5.24,4.19,0
.767,.758,5.26,4.18,0
.769,.753,5.26,4.04,1
.770,.753,5.24,4.08,1
.771,.751,5.21,4.10,1
.764,.753,5.21,3.99,0
.764,.751,5.18,4.01,1
.764,.751,5.17,4.00,0
.649,.670,5.78,4.08,1
.634,.671,5.59,3.86,0
.619,.675,5.42,3.66,0
.684,.678,5.32,3.20,0
.691,.686,5.37,3.26,0
.684,.689,5.29,3.19,0
.736,.727,4.74,3.46,0
.734,.730,4.73,3.44,0
.738,.728,4.69,3.54,1
.739,.724,4.66,3.60,1
.740,.731,4.68,3.89,0
.742,.732,4.70,3.89,1
.740,.735,4.70,3.86,0
.738,.736,4.75,3.93,1
.742,.742,4.80,3.99,0
.740,.740,4.77,3.96,0
.739,.741,4.71,3.80,0
.739,.738,4.68,3.80,1
.736,.739,4.70,3.77,0
.582,.829,3.33,4.40,0
.564,.805,3.50,4.17,0
.501,.746,3.00,3.57,0
.673,.759,3.34,4.22,1
.679,.765,3.46,4.31,0
.715,.778,3.49,4.60,1
.718,.782,3.54,4.69,1
.718,.780,3.55,4.69,0
.718,.783,3.61,4.70,0
.719,.777,3.74,4.57,0
.719,.776,3.74,4.55,1
.719,.772,3.69,4.54,1
.718,.767,3.65,4.51,1
.731,.780,3.90,4.60,1
.737,.780,3.91,4.68,1
.737,.779,3.93,4.66,0
.736,.767,4.19,4.41,0
.735,.769,4.21,4.39,0
.735,.767,4.22,4.39,0
.701,.659,4.08,3.77,1
.697,.636,3.87,3.70,1
.695,.663,4.24,3.65,0
.712,.673,4.12,4.49,0
.699,.668,4.02,4.40,0
.718,.668,3.94,4.49,1
.724,.658,3.83,4.58,1
.721,.718,3.92,4.19,1
.716,.716,3.90,4.13,0
.718,.710,3.85,4.16,1
