Wops(A),Pops(A),Wera(D),Pera(D),winsW
.720,.663,3.89,3.52,0
.717,.663,3.84,3.45,0
.717,.663,3.84,3.45,0
.716,.664,3.85,3.43,0
.716,.713,4.25,3.45,0
.716,.716,4.28,3.46,0
.716,.718,4.31,3.45,0
.715,.718,4.31,3.44,0
.684,.775,5.59,2.95,0
.692,.777,5.54,2.95,0
.685,.771,5.45,2.91,0
.720,.724,4.92,3.57,0
.719,.726,4.92,3.56,0
.720,.728,4.92,3.56,0
.774,.754,5.36,4.84,1
.772,.752,5.34,4.80,0
.773,.751,5.31,4.82,1
.770,.757,5.23,4.89,0
.768,.758,5.22,4.86,0
.766,.759,5.23,4.83,0
.767,.760,5.23,4.87,1
.689,.696,5.26,4.21,0
.697,.692,5.17,4.30,1
.692,.684,5.04,4.24,1
.737,.687,4.72,4.39,0
.738,.685,4.69,4.41,1
.736,.686,4.72,4.37,0
.666,.763,3.38,5.31,1
.667,.763,3.39,5.21,0
.660,.752,3.28,5.07,1
.649,.745,3.21,4.90,0
.738,.771,4.21,4.31,0
.737,.768,4.18,4.30,1
.737,.769,4.20,4.29,0
