Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.637,4.24,4.12,0
.709,.635,4.22,4.10,0
.707,.635,4.22,4.12,1
.715,.644,4.24,4.19,1
.723,.645,4.20,4.28,1
.724,.645,4.16,4.30,1
.624,.509,2.00,5.63,1
.617,.530,2.00,4.41,1
.786,.689,3.00,6.66,1
.689,.645,5.13,3.79,0
.686,.652,5.11,3.74,0
.695,.655,5.08,3.88,1
.802,1.004,4.00,3.00,0
.694,.672,2.00,2.65,1
.810,.702,2.67,4.32,1
.779,.713,4.62,4.80,1
.778,.716,4.62,4.76,0
.785,.718,4.61,4.83,1
.676,.734,5.96,4.29,0
.642,.729,6.04,3.96,0
.633,.712,5.59,3.75,0
.739,.721,4.78,3.83,0
.740,.720,4.76,3.85,1
.742,.718,4.73,3.88,1
.743,.716,4.69,3.88,1
.708,.740,3.63,4.22,0
.704,.740,3.64,4.17,0
.703,.736,3.63,4.17,1
.744,.750,4.23,4.60,0
.742,.752,4.25,4.58,0
.744,.752,4.25,4.61,1
.745,.750,4.24,4.60,1
