Wops(A),Pops(A),Wera(D),Pera(D),winsW
.629,.552,2.00,5.63,1
.661,.582,2.70,4.82,1
.632,.584,2.48,4.00,1
.694,.631,3.90,2.95,1
.697,.624,3.75,2.96,1
.699,.634,3.88,2.92,0
.720,.692,4.00,2.89,0
.723,.690,3.97,2.92,1
.725,.688,3.91,2.92,1
.721,.704,4.12,3.18,1
.723,.704,4.13,3.18,0
.724,.703,4.11,3.19,1
.721,.700,4.10,3.16,0
.713,.719,4.18,3.18,1
.712,.720,4.20,3.18,0
.711,.720,4.21,3.18,0
.708,.719,4.35,3.24,0
.708,.718,4.33,3.23,1
.706,.719,4.33,3.21,0
.752,.782,3.50,2.37,0
.752,.766,3.00,2.93,1
.782,.775,2.67,2.82,1
.678,.823,5.41,4.24,0
.667,.826,5.42,4.10,0
.667,.821,5.35,4.10,1
.697,.790,5.21,4.32,1
.698,.793,5.18,4.31,0
.707,.733,5.09,4.24,0
.707,.733,5.10,4.23,0
.706,.733,5.08,4.24,1
.718,.732,4.92,4.13,0
.718,.734,4.90,4.13,1
.720,.734,4.92,4.16,1
.723,.733,4.88,4.18,1
.721,.737,4.88,4.17,0
.721,.738,4.90,4.17,0
.721,.739,4.89,4.16,0
.723,.739,4.88,4.18,1
.804,.618,2.76,4.15,1
.806,.598,2.54,4.41,1
.818,.605,2.48,4.84,1
.755,.700,4.54,3.87,1
.749,.709,4.79,3.84,0
.759,.710,4.69,3.98,1
.763,.704,4.59,3.99,1
.762,.717,5.24,4.23,1
.763,.714,5.21,4.24,1
.760,.715,5.22,4.20,0
.775,.713,5.41,4.33,1
.772,.712,5.38,4.29,0
.770,.712,5.37,4.27,0
.772,.707,5.29,4.37,1
.770,.708,5.29,4.34,0
.770,.708,5.27,4.32,0
.768,.707,5.22,4.30,1
.767,.706,5.19,4.29,1
.766,.704,5.17,4.30,1
.662,.785,5.11,4.50,0
.683,.833,6.58,4.30,0
.713,.798,6.20,4.62,1
.658,.814,6.13,4.13,0
.691,.758,4.86,4.14,1
.690,.760,4.83,4.11,0
.692,.758,4.82,4.12,1
.713,.735,4.84,4.28,0
.712,.740,4.87,4.24,0
.716,.741,4.88,4.30,1
.745,.729,4.75,4.29,0
.743,.732,4.77,4.27,0
.741,.736,4.81,4.24,0
.740,.721,4.74,4.04,0
.740,.722,4.76,4.04,0
.740,.721,4.75,4.02,0
.730,.725,4.66,4.01,0
.730,.723,4.63,4.01,1
.729,.724,4.63,4.00,0
.749,.574,3.00,5.63,1
.555,.664,3.00,2.65,0
.509,.684,2.89,2.68,0
.488,.648,2.80,2.25,0
.510,.682,3.20,2.45,0
.534,.738,3.68,2.76,0
.703,.704,3.61,4.63,0
.708,.702,3.56,4.70,1
.718,.702,3.60,4.83,1
.715,.708,3.66,4.78,0
.737,.750,3.98,4.97,1
.737,.753,4.05,4.95,0
.739,.750,4.02,4.95,1
.747,.739,4.14,5.05,0
.746,.740,4.21,5.01,0
.748,.742,4.25,5.03,0
.734,.746,4.22,5.21,0
.736,.743,4.20,5.19,1
.736,.741,4.18,5.18,1
.737,.623,4.45,5.36,0
.754,.615,4.27,5.55,1
.726,.634,4.42,4.93,1
.724,.635,4.36,4.91,0
.728,.636,4.29,4.94,1
.723,.637,4.24,4.86,0
.714,.630,4.14,5.09,1
.720,.636,4.16,5.19,1
.718,.632,4.09,5.18,1
.713,.625,4.00,5.10,1
