Wops(A),Pops(A),Wera(D),Pera(D),winsW
.703,.679,4.25,3.99,0
.709,.684,4.34,4.04,0
.711,.679,4.26,4.05,1
.710,.667,4.00,3.96,0
.712,.668,4.04,3.97,0
.713,.668,4.03,4.00,1
.705,.686,5.35,4.56,0
.703,.693,5.45,4.54,0
.699,.692,5.42,4.48,0
.700,.688,5.35,4.47,1
.708,.707,5.22,4.58,1
.704,.705,5.19,4.54,0
.704,.703,5.16,4.53,1
.782,.676,4.94,4.98,0
.779,.681,4.96,4.94,0
.778,.682,4.96,4.89,0
.760,.700,5.22,4.68,1
.760,.703,5.24,4.66,0
.762,.702,5.22,4.69,1
.765,.702,5.20,4.74,1
.702,.661,4.93,4.23,1
.704,.663,4.97,4.19,0
.707,.665,5.00,4.17,0
.739,.673,4.74,4.37,0
.741,.674,4.75,4.43,1
.741,.677,4.75,4.47,0
.644,.712,3.34,3.92,1
.628,.694,3.23,3.78,1
.628,.692,3.16,3.75,1
.635,.693,3.22,3.71,0
.750,.742,4.19,4.54,0
.748,.741,4.16,4.53,1
.748,.739,4.15,4.51,1
