Wops(A),Pops(A),Wera(D),Pera(D),winsW
.707,.700,3.84,3.60,1
.709,.708,4.01,3.56,0
.708,.721,4.20,3.51,0
.714,.730,4.33,3.61,0
.713,.734,4.17,3.67,0
.713,.736,4.18,3.67,1
.714,.738,4.19,3.66,0
.669,.776,5.50,4.61,0
.660,.777,5.40,4.48,0
.673,.778,5.35,4.59,1
.705,.736,5.28,3.70,1
.708,.738,5.31,3.73,0
.706,.735,5.27,3.70,1
.779,.642,4.50,4.62,1
.800,.638,4.42,4.88,1
.799,.631,4.27,4.81,1
.786,.634,4.31,4.76,1
.776,.633,4.17,4.58,0
.773,.634,4.15,4.48,0
.773,.639,4.24,4.44,0
.711,.717,4.83,4.39,0
.709,.718,4.85,4.31,0
.710,.722,4.80,4.33,1
.734,.697,4.73,3.92,1
.736,.695,4.70,3.94,1
.742,.694,4.67,3.99,1
.660,.635,3.47,3.86,0
.676,.628,3.43,4.03,1
.679,.629,3.50,4.06,0
.697,.627,3.49,4.30,1
.678,.648,3.26,4.47,1
.683,.649,3.28,4.49,1
.685,.655,3.36,4.47,0
