Wops(A),Pops(A),Wera(D),Pera(D),winsW
.634,.621,2.84,2.16,1
.613,.619,2.87,1.85,0
.655,.673,3.41,2.40,0
.619,.686,3.90,2.00,0
.623,.700,4.04,2.00,0
.615,.683,3.90,1.91,0
.719,.712,4.19,2.63,0
.718,.709,4.15,2.64,1
.715,.707,4.11,2.63,1
.720,.715,4.08,2.68,1
.717,.713,4.07,2.65,0
.715,.711,4.06,2.63,0
.714,.711,4.18,2.85,1
.715,.712,4.16,2.87,1
.715,.712,4.16,2.87,1
.714,.710,4.14,2.88,1
.713,.712,4.18,2.87,0
.716,.713,4.20,2.90,0
.717,.713,4.20,2.89,0
.716,.716,4.24,2.89,0
.703,.888,5.13,3.63,0
.746,.880,4.93,4.12,1
.735,.872,4.89,3.86,0
.719,.793,5.58,4.23,1
.726,.801,5.69,4.28,0
.720,.797,5.65,4.24,0
.707,.776,5.16,3.93,1
.707,.776,5.15,3.93,0
.709,.772,5.11,3.96,1
.706,.769,5.08,4.00,0
.707,.771,5.07,4.02,1
.706,.772,5.05,4.01,0
.718,.773,4.96,3.99,1
.720,.773,4.93,4.03,1
.720,.772,4.92,4.01,0
.725,.762,4.86,4.12,1
.726,.765,4.91,4.13,0
.725,.764,4.89,4.12,1
.725,.765,4.88,4.11,0
.772,.526,2.00,3.25,1
.768,.636,3.68,3.40,0
.815,.612,3.06,4.00,1
.754,.729,4.65,4.04,0
.764,.727,4.63,4.08,1
.777,.722,4.88,3.79,1
.784,.719,4.81,3.96,1
.787,.721,4.80,4.00,1
.788,.718,4.75,4.01,1
.778,.749,5.27,4.10,0
.759,.745,5.19,3.80,1
.757,.743,5.17,3.78,0
.757,.748,5.24,3.78,0
.767,.768,5.28,3.86,0
.767,.765,5.24,3.87,1
.766,.765,5.24,3.85,0
.767,.763,5.18,3.91,0
.764,.765,5.21,3.90,0
.766,.767,5.23,3.90,0
.626,.723,6.22,3.59,0
.624,.739,6.12,3.55,0
.621,.747,6.11,3.38,0
.627,.736,5.90,3.30,0
.619,.721,5.38,3.43,0
.622,.729,5.34,3.41,0
.609,.748,5.55,3.29,0
.714,.707,5.04,3.56,0
.717,.709,5.05,3.56,0
.717,.709,5.00,3.61,1
.746,.714,4.70,3.80,1
.748,.714,4.67,3.84,1
.746,.714,4.69,3.85,0
.739,.722,4.77,3.93,1
.736,.721,4.75,3.90,0
.739,.722,4.74,3.94,1
.741,.737,4.80,3.66,0
.741,.734,4.77,3.66,1
.741,.734,4.75,3.68,1
.671,.747,2.76,3.89,1
.689,.773,3.21,3.90,0
.667,.812,3.15,4.50,1
.663,.812,3.27,4.44,0
.658,.809,3.35,4.35,0
.714,.743,3.64,4.30,1
.710,.742,3.63,4.24,0
.725,.719,3.89,4.05,0
.730,.720,3.93,4.12,0
.730,.720,3.91,4.11,1
.729,.718,3.89,4.08,0
.751,.717,4.17,4.00,1
.749,.722,4.24,3.99,0
.750,.721,4.21,4.01,1
.750,.721,4.21,4.01,0
.748,.735,4.25,3.93,0
.746,.734,4.23,3.92,0
.744,.733,4.22,3.91,0
.745,.732,4.21,3.91,1
.751,.683,4.12,4.01,0
.736,.660,4.03,3.71,1
.722,.666,4.00,3.45,0
.715,.692,4.10,3.35,0
.724,.710,4.18,3.59,0
.727,.740,4.51,3.53,0
.723,.740,4.47,3.56,1
.712,.732,4.09,3.70,1
.704,.742,4.17,3.62,0
.713,.739,4.19,3.80,1
