Wops(A),Pops(A),Wera(D),Pera(D),winsW
.699,.742,4.27,3.57,1
.704,.742,4.29,3.67,1
.709,.736,4.24,3.76,1
.716,.726,4.05,3.57,1
.717,.720,4.00,3.58,1
.713,.732,4.31,3.71,0
.707,.734,5.63,3.01,1
.709,.731,5.58,3.07,1
.713,.734,5.63,3.18,0
.700,.757,5.52,3.33,0
.696,.754,5.45,3.30,0
.698,.751,5.43,3.34,1
.694,.759,5.51,3.31,0
.779,.816,5.08,4.13,0
.779,.823,5.27,4.12,0
.780,.820,5.23,4.14,1
.775,.812,5.05,4.11,0
.775,.814,5.11,4.14,0
.772,.820,5.21,4.10,0
.769,.822,5.22,4.07,0
.485,.489,2.00,0.00,0
.706,.854,7.50,2.50,0
.714,.887,7.00,3.33,0
.740,.740,4.74,3.84,0
.742,.738,4.71,3.86,1
.742,.741,4.72,3.84,0
.740,.740,4.70,3.82,0
.720,.743,3.65,4.91,1
.719,.744,3.68,4.86,0
.714,.743,3.68,4.79,0
.751,.772,4.09,4.42,0
.750,.772,4.08,4.39,0
.752,.777,4.20,4.41,0
