Wops(A),Pops(A),Wera(D),Pera(D),winsW
.602,.649,4.35,4.80,0
.611,.633,4.06,4.76,1
.610,.680,4.06,4.66,0
.622,.671,3.90,4.77,1
.619,.696,4.09,4.41,0
.718,.678,4.44,4.29,0
.721,.671,4.35,4.25,1
.717,.669,4.32,4.25,1
.723,.668,4.26,4.27,1
.707,.655,3.86,3.87,0
.705,.656,3.88,3.83,0
.704,.659,3.95,3.82,0
.702,.659,3.93,3.79,0
.717,.689,3.74,3.93,1
.717,.691,3.76,3.93,0
.719,.691,3.77,3.93,1
.723,.694,3.75,4.03,1
.724,.694,3.75,4.03,0
.725,.694,3.74,4.04,1
.681,.610,4.33,3.07,1
.674,.647,5.14,3.06,0
.721,.719,3.96,3.22,0
.723,.714,3.89,3.25,1
.724,.712,3.85,3.31,1
.723,.709,3.81,3.33,1
.728,.700,3.72,3.90,1
.737,.698,3.70,4.04,1
.739,.698,3.67,4.02,1
.771,.712,3.80,4.05,1
.772,.714,3.84,4.08,0
.774,.713,3.84,4.08,1
.766,.725,3.81,4.07,0
.764,.725,3.85,4.05,0
.765,.723,3.83,4.06,1
.763,.723,3.82,4.04,0
.764,.726,3.79,4.17,1
.763,.727,3.81,4.15,0
.760,.725,3.79,4.12,0
.666,.676,5.02,2.80,1
.633,.634,4.63,2.54,0
.668,.688,5.24,2.72,0
.750,.615,4.44,3.03,1
.755,.594,4.17,3.15,1
.751,.606,4.19,3.09,0
.742,.718,4.01,4.29,1
.740,.721,4.01,4.27,0
.738,.720,3.97,4.27,1
.783,.724,3.69,4.65,1
.782,.725,3.69,4.65,1
.781,.724,3.68,4.61,0
.784,.729,3.50,4.81,1
.786,.730,3.51,4.84,1
.786,.727,3.49,4.84,1
.790,.726,3.48,4.88,1
.792,.733,3.33,4.81,1
.789,.732,3.32,4.79,0
.788,.731,3.30,4.78,1
.755,.728,4.25,4.99,1
.762,.728,4.23,5.04,1
.766,.725,4.17,5.13,1
.761,.704,4.07,4.68,1
.757,.707,4.09,4.63,0
.757,.704,4.08,4.59,0
.756,.702,4.03,4.58,1
.756,.699,4.05,4.59,1
.755,.697,4.03,4.62,1
.760,.692,3.98,4.72,1
.769,.705,3.84,4.92,0
.769,.702,3.81,4.89,1
.770,.703,3.83,4.92,1
.763,.711,3.79,4.74,1
.762,.709,3.77,4.74,1
.763,.709,3.77,4.73,0
.764,.707,3.76,4.74,1
.763,.707,3.77,4.74,0
.766,.706,3.75,4.77,1
.483,.661,3.44,5.18,1
.468,.707,3.98,4.50,0
.634,.747,3.83,5.52,0
.630,.744,3.78,5.35,0
.634,.741,3.75,5.35,1
.643,.742,3.64,5.07,0
.657,.734,3.55,5.14,1
.684,.719,4.02,5.01,0
.684,.717,3.99,4.94,0
.685,.713,3.96,4.92,1
.681,.712,3.93,4.83,0
.761,.707,3.67,4.96,1
.760,.708,3.69,4.96,0
.762,.710,3.71,4.99,1
.759,.712,3.72,4.96,0
.761,.724,3.61,4.99,1
.760,.726,3.63,4.98,0
.757,.728,3.66,4.95,0
.710,.859,1.70,7.97,1
.709,.821,1.96,7.53,1
.668,.765,2.13,6.23,0
.581,.753,2.06,4.28,0
.607,.746,1.99,4.47,1
.610,.742,2.04,4.41,1
.688,.795,3.26,3.61,1
.687,.792,3.23,3.61,1
.687,.786,3.19,3.60,1
.688,.782,3.20,3.64,1
