Wops(A),Pops(A),Wera(D),Pera(D),winsW
.660,.989,2.31,1.00,0
.653,.971,3.68,1.40,0
.647,.983,4.42,2.00,0
.660,.781,3.88,3.73,1
.657,.775,3.91,3.58,0
.662,.787,4.19,3.71,0
.728,.746,3.95,3.80,0
.729,.748,3.95,3.82,1
.727,.750,4.02,3.77,0
.712,.749,4.02,3.98,0
.713,.749,4.05,3.94,0
.718,.746,4.02,4.01,1
.719,.754,3.76,4.77,1
.716,.755,3.78,4.73,0
.716,.752,3.75,4.72,1
.721,.753,3.77,4.76,1
.722,.753,3.76,4.78,1
.720,.754,3.80,4.75,0
.678,.734,4.18,3.59,1
.702,.709,3.96,3.93,1
.710,.700,3.90,4.05,1
.703,.757,3.90,3.89,1
.698,.746,3.73,3.91,1
.716,.737,3.74,4.05,1
.748,.773,3.56,4.52,1
.751,.768,3.51,4.54,1
.756,.766,3.51,4.60,1
.751,.775,3.58,4.49,1
.756,.771,3.55,4.59,1
.755,.772,3.61,4.55,0
.765,.760,3.82,4.30,1
.763,.758,3.79,4.28,1
.762,.759,3.82,4.26,0
.760,.764,3.79,4.28,1
.758,.768,3.85,4.26,0
.673,.751,5.42,4.45,0
.740,.753,5.47,5.29,1
.729,.754,5.35,4.92,0
.749,.760,4.11,5.02,0
.742,.759,4.17,4.90,0
.735,.750,4.08,4.83,1
.764,.762,3.88,4.82,0
.762,.758,3.84,4.81,1
.768,.759,3.88,4.89,1
.778,.757,3.81,4.91,1
.779,.753,3.77,4.91,1
.778,.752,3.78,4.87,0
.776,.758,3.56,5.07,1
.778,.756,3.54,5.11,1
.779,.755,3.52,5.11,1
.783,.754,3.51,5.15,1
.790,.755,3.41,5.24,1
.790,.753,3.38,5.22,1
.790,.752,3.37,5.22,1
.532,.620,3.19,3.39,1
.536,.611,2.99,3.29,1
.552,.595,2.82,3.48,1
.594,.597,2.84,3.72,1
.750,.741,4.03,4.21,0
.758,.746,4.16,4.30,0
.757,.738,4.06,4.32,1
.761,.716,4.19,4.29,1
.757,.714,4.17,4.23,0
.762,.711,4.13,4.30,1
.762,.708,3.92,4.35,1
.760,.704,3.89,4.34,1
.769,.701,3.86,4.45,1
.772,.684,4.02,4.40,1
.769,.683,4.01,4.37,0
.774,.680,3.98,4.41,1
.760,.686,3.81,4.43,0
.764,.683,3.78,4.49,1
.763,.684,3.79,4.48,0
.585,.567,2.66,2.64,1
.582,.600,2.81,2.50,0
.610,.573,2.57,2.62,1
.702,.673,3.93,4.86,1
.701,.670,3.90,4.84,1
.706,.666,3.84,4.89,1
.721,.671,3.90,4.94,1
.720,.669,3.85,4.91,1
.720,.668,3.84,4.96,1
.740,.682,3.93,5.08,1
.742,.677,3.88,5.12,1
.744,.676,3.86,5.15,1
.744,.677,3.85,5.15,1
.761,.679,3.66,5.15,1
.762,.678,3.65,5.15,1
.762,.676,3.62,5.12,1
.761,.687,3.69,5.26,1
.759,.685,3.67,5.23,1
.761,.684,3.64,5.24,1
.608,.750,2.69,5.52,1
.609,.730,2.56,5.38,1
.642,.734,2.68,5.52,1
.642,.708,2.79,5.99,0
.649,.698,2.73,6.01,1
.650,.717,2.88,5.93,0
.686,.711,3.25,5.86,1
.684,.707,3.18,5.76,1
.682,.709,3.23,5.68,0
.683,.706,3.24,5.71,1
