Wops(A),Pops(A),Wera(D),Pera(D),winsW
.291,.299,2.25,0.00,0
.458,.342,1.06,1.00,1
.645,.353,1.04,2.33,1
.709,.740,3.95,3.59,0
.709,.736,3.90,3.57,1
.708,.733,3.88,3.58,1
.710,.731,3.85,3.58,1
.702,.738,3.86,4.46,0
.702,.730,3.73,4.45,1
.695,.727,3.69,4.31,0
.766,.744,3.79,4.01,0
.765,.744,3.80,3.99,0
.766,.745,3.80,4.01,1
.768,.746,3.83,4.06,1
.748,.756,4.13,3.24,0
.754,.756,4.12,3.43,1
.762,.760,4.06,3.48,1
.730,.784,3.96,3.45,1
.727,.775,3.86,3.41,1
.730,.777,3.91,3.52,1
.753,.735,4.07,2.41,0
.755,.737,4.07,2.46,1
.746,.738,4.06,2.43,0
.744,.745,3.99,2.39,0
.743,.751,4.13,2.38,0
.748,.752,4.17,2.49,1
.749,.752,4.22,2.61,1
.628,.842,3.47,3.61,1
.643,.835,3.45,3.70,1
.637,.827,3.47,3.66,0
.636,.822,3.51,3.56,0
.747,.822,3.74,3.73,0
.750,.820,3.74,3.79,1
.749,.823,3.77,3.77,0
