Wops(A),Pops(A),Wera(D),Pera(D),winsW
.656,.793,4.18,2.88,0
.661,.815,4.55,2.99,0
.672,.806,4.52,3.20,1
.701,.781,4.68,3.08,0
.714,.774,4.61,3.34,1
.708,.777,4.72,3.36,0
.734,.740,3.96,3.46,1
.732,.740,3.97,3.43,0
.704,.735,3.98,3.43,0
.703,.734,3.96,3.41,0
.710,.731,3.93,3.49,1
.723,.736,3.78,3.80,1
.721,.734,3.77,3.77,0
.722,.732,3.75,3.79,1
.721,.734,3.77,3.77,0
.725,.738,3.71,3.80,1
.726,.738,3.72,3.83,1
.724,.737,3.72,3.81,0
.720,.672,3.63,3.84,1
.711,.677,3.76,3.70,0
.713,.680,3.77,3.76,1
.734,.734,3.95,3.82,1
.738,.730,3.89,3.85,1
.744,.726,3.84,3.92,1
.750,.719,3.77,3.98,1
.730,.720,3.71,3.98,0
.731,.721,3.71,3.95,0
.728,.722,3.75,3.95,0
.757,.729,3.61,4.17,0
.758,.727,3.59,4.20,1
.762,.726,3.60,4.28,1
.761,.712,3.80,4.16,1
.762,.712,3.80,4.17,1
.763,.711,3.79,4.18,1
.760,.714,3.86,4.23,1
.760,.713,3.85,4.22,1
.759,.712,3.84,4.21,1
.727,.618,4.06,3.98,0
.728,.608,3.95,3.95,1
.724,.600,3.82,3.85,1
.731,.660,4.02,4.19,0
.731,.664,4.02,4.14,0
.742,.662,3.95,4.27,1
.740,.666,3.83,4.25,0
.740,.670,3.92,4.26,0
.743,.667,3.84,4.31,1
.772,.733,3.60,4.43,1
.771,.732,3.57,4.43,1
.770,.734,3.61,4.43,0
.769,.733,3.66,4.39,1
.769,.730,3.63,4.39,1
.774,.728,3.60,4.46,1
.791,.733,3.35,4.61,1
.790,.734,3.36,4.60,0
.791,.734,3.36,4.62,1
.789,.732,3.35,4.61,1
.544,.552,4.26,5.65,1
.530,.521,3.86,4.67,0
.526,.555,3.54,4.33,1
.737,.726,4.13,5.39,0
.740,.723,4.07,5.39,1
.753,.718,3.97,5.55,1
.767,.658,3.92,5.19,1
.767,.661,3.92,5.20,1
.764,.661,3.88,5.18,1
.769,.675,3.82,5.24,0
.767,.678,3.85,5.21,0
.769,.679,3.86,5.26,1
.762,.694,3.82,5.11,0
.763,.693,3.81,5.14,1
.763,.690,3.79,5.11,1
.765,.697,3.74,4.93,0
.767,.697,3.76,4.97,1
.767,.699,3.79,4.96,0
.766,.697,3.77,4.94,1
.605,.736,2.95,5.74,0
.582,.731,2.98,5.33,0
.599,.753,3.42,5.51,0
.722,.709,3.81,4.92,1
.726,.712,3.85,4.93,0
.728,.711,3.84,4.93,1
.722,.715,4.04,5.11,1
.724,.711,3.99,5.09,1
.728,.710,3.98,5.10,1
.748,.722,3.87,5.06,1
.744,.720,3.84,5.00,0
.745,.720,3.84,5.00,1
.745,.716,3.75,4.90,1
.748,.714,3.73,4.92,1
.751,.712,3.71,4.96,1
.752,.714,3.75,4.96,0
.757,.701,3.69,5.00,1
.756,.700,3.68,5.00,1
.757,.701,3.68,5.01,0
.553,.390,0.00,2.25,1
.441,.476,0.95,2.00,0
.670,.474,1.29,3.81,1
.674,.720,2.87,4.24,0
.694,.715,2.81,4.41,1
.697,.706,2.74,4.43,1
.687,.697,2.76,4.69,1
.691,.699,2.84,4.72,0
.688,.697,2.84,4.61,0
.680,.704,3.03,4.52,0
