Wops(A),Pops(A),Wera(D),Pera(D),winsW
.608,.579,3.89,5.07,0
.610,.585,3.70,4.97,1
.604,.609,4.04,4.71,0
.704,.698,4.77,3.92,0
.709,.709,4.85,3.93,0
.719,.698,4.75,4.07,1
.702,.699,3.87,4.08,0
.709,.701,3.87,4.20,1
.712,.698,3.85,4.24,1
.715,.698,3.80,4.22,1
.713,.699,3.81,4.19,0
.711,.700,3.81,4.17,0
.723,.708,3.74,4.11,0
.723,.708,3.74,4.10,0
.724,.709,3.74,4.11,1
.723,.709,3.72,4.08,0
.721,.710,3.74,4.06,0
.723,.709,3.73,4.09,1
.722,.708,3.72,4.08,0
.717,.684,3.93,3.76,0
.718,.703,4.07,3.82,0
.717,.703,4.06,3.88,1
.700,.680,3.73,4.93,1
.698,.685,3.80,4.87,0
.695,.682,3.77,4.76,0
.756,.736,3.61,4.96,1
.754,.735,3.60,4.94,0
.758,.733,3.57,4.95,1
.758,.741,3.67,4.83,0
.760,.745,3.73,4.84,0
.760,.749,3.81,4.84,0
.763,.749,3.79,4.88,1
.760,.742,3.81,5.09,1
.763,.742,3.81,5.09,1
.765,.742,3.81,5.12,1
.767,.752,3.82,5.23,1
.765,.751,3.80,5.19,0
.766,.748,3.77,5.19,1
.729,.702,5.01,2.50,1
.748,.704,4.94,2.98,1
.755,.688,4.74,3.18,1
.714,.736,3.77,4.20,0
.704,.732,3.77,4.10,0
.717,.731,3.75,4.23,1
.748,.760,4.02,4.91,1
.754,.757,3.99,4.96,1
.759,.754,3.96,4.97,1
.761,.750,3.93,4.97,1
.769,.749,3.86,4.95,0
.768,.748,3.83,4.91,0
.765,.748,3.83,4.84,0
.770,.738,3.63,4.76,1
.772,.738,3.63,4.80,1
.770,.740,3.63,4.77,0
.789,.771,3.36,4.64,0
.789,.769,3.35,4.63,1
.790,.768,3.34,4.64,1
.639,.725,2.99,3.42,1
.627,.702,2.75,3.05,0
.772,.705,4.24,4.33,1
.770,.710,4.29,4.32,0
.767,.710,4.28,4.26,0
.767,.718,4.34,4.28,0
.754,.711,4.05,4.14,0
.756,.715,4.12,4.12,0
.754,.716,4.08,4.13,1
.776,.716,3.99,4.48,0
.775,.716,3.97,4.50,1
.774,.714,3.93,4.47,1
.775,.716,3.88,4.48,1
.773,.717,3.87,4.46,0
.772,.716,3.86,4.46,1
.772,.715,3.86,4.46,1
.769,.718,3.84,4.52,1
.768,.719,3.84,4.51,0
.767,.718,3.82,4.51,1
.203,.440,2.25,0.00,0
.326,.403,1.59,1.00,1
.407,.688,3.96,1.67,0
.685,.849,3.90,3.90,1
.691,.850,3.95,3.95,1
.688,.848,3.97,3.93,0
.737,.832,3.90,3.94,0
.736,.833,3.91,3.92,0
.736,.830,3.90,3.92,1
.752,.835,3.65,4.15,1
.753,.834,3.64,4.16,1
.753,.834,3.64,4.13,0
.752,.832,3.63,4.16,1
.759,.836,3.71,4.17,1
.757,.836,3.72,4.16,0
.759,.834,3.71,4.17,1
.758,.831,3.65,4.17,0
.758,.831,3.69,4.17,0
.759,.833,3.70,4.18,1
.669,.686,1.83,3.74,1
.640,.736,2.13,3.34,0
.597,.746,2.25,2.92,0
.563,.735,2.35,2.70,0
.654,.743,2.88,3.43,0
.657,.735,2.85,3.46,1
.667,.736,2.86,3.56,1
.678,.738,3.04,3.65,0
.678,.745,3.15,3.64,0
.680,.749,3.24,3.67,0
