Wops(A),Pops(A),Wera(D),Pera(D),winsW
.711,.753,3.82,3.90,1
.711,.752,3.80,3.89,1
.712,.753,3.83,3.91,0
.710,.753,3.85,3.88,1
.711,.751,3.83,3.90,1
.710,.752,3.85,3.88,0
.713,.750,3.83,3.88,1
.754,.708,3.63,4.38,0
.758,.707,3.61,4.46,1
.757,.709,3.64,4.46,0
.758,.711,3.63,4.45,0
.764,.704,3.88,4.25,0
.765,.702,3.86,4.26,1
.764,.702,3.85,4.23,0
.780,.777,3.77,3.80,1
.780,.777,3.75,3.83,1
.777,.776,3.73,3.80,0
.774,.776,3.77,3.78,0
.774,.775,3.59,3.80,1
.773,.773,3.57,3.78,1
.775,.772,3.57,3.82,1
.744,.791,4.05,3.48,0
.739,.782,4.03,3.44,0
.729,.780,4.12,3.43,0
.766,.797,4.02,3.43,0
.766,.796,4.02,3.46,1
.763,.796,4.02,3.46,0
.764,.794,4.00,3.48,1
.690,.778,3.93,3.82,1
.697,.774,3.90,3.90,1
.697,.777,3.95,3.91,0
.762,.833,3.68,4.48,1
.760,.833,3.67,4.46,0
.760,.833,3.69,4.47,0
.762,.832,3.69,4.50,1
