Wops(A),Pops(A),Wera(D),Pera(D),winsW
.709,.711,3.80,3.40,1
.710,.711,3.80,3.41,0
.705,.709,3.78,3.37,0
.709,.699,3.90,3.47,1
.708,.694,3.86,3.45,1
.705,.694,3.87,3.43,0
.703,.693,3.85,3.40,0
.755,.708,3.63,4.61,1
.759,.708,3.63,4.62,1
.760,.706,3.59,4.66,1
.769,.702,3.80,4.61,1
.767,.705,3.84,4.58,0
.767,.705,3.84,4.55,0
.746,.732,3.93,4.40,1
.751,.730,3.91,4.50,1
.743,.729,3.89,4.43,0
.743,.721,3.82,4.41,1
.773,.732,3.80,4.72,0
.770,.732,3.82,4.70,0
.770,.734,3.86,4.68,0
.759,.732,3.90,4.02,0
.756,.735,3.94,4.00,0
.764,.734,3.93,4.13,1
.765,.738,3.89,4.14,1
.762,.739,3.90,4.10,0
.758,.741,3.92,4.06,0
.646,.716,3.68,4.31,0
.649,.711,3.61,4.26,0
.650,.708,3.60,4.27,1
.674,.736,3.58,4.14,0
.674,.738,3.61,4.11,0
.676,.744,3.66,4.07,0
