Wops(A),Pops(A),Wera(D),Pera(D),winsW
.740,.698,4.13,3.80,1
.732,.698,4.10,3.74,0
.730,.702,4.07,3.75,1
.736,.694,4.02,3.77,1
.729,.687,3.94,3.63,0
.730,.690,4.01,3.62,0
.731,.684,3.94,3.65,1
.696,.673,4.18,3.57,1
.673,.651,3.99,3.31,0
.682,.680,4.42,3.47,0
.745,.765,3.72,3.75,1
.743,.770,3.79,3.70,0
.735,.771,3.82,3.64,0
.734,.775,3.80,3.64,1
.748,.728,4.02,4.43,0
.739,.722,3.97,4.43,1
.757,.724,3.97,4.71,1
.788,.746,3.35,4.44,0
.790,.746,3.35,4.47,1
.789,.745,3.33,4.46,1
.465,.598,2.25,1.00,0
.569,.695,3.71,3.50,1
.609,.778,4.32,3.67,0
.658,.729,2.92,4.91,0
.686,.726,3.01,4.97,1
.681,.742,3.28,4.93,0
.682,.757,3.53,4.90,0
.604,.868,3.46,4.24,1
.620,.857,3.37,4.23,1
.605,.837,3.17,4.08,1
.636,.794,3.47,4.53,1
.645,.795,3.49,4.56,1
.634,.802,3.70,4.44,0
