Wops(A),Pops(A),Wera(D),Pera(D),winsW
.719,.695,4.02,3.33,0
.716,.696,4.02,3.30,0
.711,.693,3.96,3.27,1
.716,.694,4.02,3.31,1
.717,.690,3.98,3.35,1
.717,.684,3.94,3.39,1
.716,.681,3.92,3.41,1
.638,.672,5.23,3.69,0
.614,.637,4.50,3.60,1
.685,.611,3.84,3.76,1
.743,.739,3.66,4.09,1
.745,.733,3.61,4.11,1
.746,.727,3.57,4.15,1
.726,.740,3.84,3.74,1
.724,.748,3.90,3.75,0
.722,.753,3.98,3.75,0
.768,.749,3.74,4.07,0
.766,.746,3.70,4.08,1
.765,.743,3.67,4.07,1
.765,.741,3.66,4.07,1
.766,.722,3.79,3.69,1
.766,.724,3.80,3.68,0
.764,.728,3.82,3.68,0
.764,.736,3.83,3.68,0
.763,.733,3.80,3.67,1
.760,.733,3.80,3.65,0
.670,.769,3.73,2.83,0
.670,.764,3.68,2.84,1
.668,.768,3.70,2.83,0
.667,.767,3.71,2.83,0
.759,.753,3.62,3.65,0
.760,.756,3.66,3.67,0
.759,.758,3.69,3.66,0
