Wops(A),Pops(A),Wera(D),Pera(D),winsW
.726,.684,4.45,4.19,1
.733,.696,4.50,4.32,1
.728,.695,4.52,4.23,0
.729,.719,4.19,4.20,0
.728,.720,4.18,4.18,0
.741,.720,4.16,4.33,1
.736,.730,3.90,3.99,0
.734,.732,3.97,3.97,0
.735,.729,3.95,3.98,1
.763,.750,3.88,4.30,0
.765,.748,3.85,4.36,1
.764,.748,3.85,4.32,0
.762,.746,3.84,4.30,0
.879,.915,5.00,8.00,1
.790,.782,4.00,6.00,1
.790,.773,4.33,6.67,1
.770,.742,3.90,4.37,1
.765,.739,3.88,4.33,0
.766,.738,3.87,4.33,1
.766,.734,3.83,4.34,1
.688,.686,3.59,4.75,1
.690,.698,3.70,4.68,0
.716,.702,3.71,4.93,1
.768,.718,4.03,4.65,1
.775,.718,4.02,4.76,1
.773,.718,4.04,4.71,0
.706,.777,3.89,4.85,0
.713,.775,3.88,4.89,1
.719,.776,3.87,4.94,1
.716,.778,3.87,4.90,0
.752,.770,3.70,4.92,0
.750,.768,3.66,4.90,1
.752,.765,3.64,4.89,1
