Wops(A),Pops(A),Wera(D),Pera(D),winsW
.675,.741,4.54,4.78,0
.695,.745,4.52,4.99,1
.687,.755,4.54,4.91,0
.707,.758,4.64,5.13,1
.719,.787,3.76,3.75,1
.720,.786,3.77,3.74,0
.717,.785,3.78,3.72,0
.759,.762,3.42,3.98,1
.753,.756,3.34,3.90,1
.754,.760,3.41,3.93,0
.750,.768,3.58,3.89,0
.773,.758,3.83,3.72,1
.771,.760,3.85,3.73,0
.770,.760,3.83,3.72,1
.721,.667,3.84,4.21,0
.722,.657,3.72,4.26,1
.724,.668,3.85,4.34,0
.770,.722,3.80,4.58,1
.769,.718,3.76,4.55,1
.770,.717,3.73,4.59,1
.607,.725,3.13,3.77,0
.728,.757,3.98,4.27,0
.742,.760,3.98,4.56,1
.765,.742,3.79,4.89,1
.763,.741,3.77,4.86,0
.765,.746,3.80,4.88,1
.764,.745,3.81,4.86,0
.494,.599,3.46,2.19,1
.510,.580,3.25,2.30,1
.536,.601,3.09,2.69,1
.535,.579,2.85,2.75,1
.748,.708,3.83,4.88,1
.746,.708,3.81,4.84,0
.744,.704,3.77,4.83,1
