Wops(A),Pops(A),Wera(D),Pera(D),winsW
.858,.611,1.82,4.48,1
.833,.678,2.76,4.32,0
.855,.673,2.61,4.82,1
.761,.639,4.01,4.45,0
.769,.652,3.99,4.51,0
.762,.642,3.85,4.49,1
.734,.651,3.90,4.24,0
.739,.648,3.85,4.29,1
.742,.647,3.80,4.32,1
.751,.647,4.05,4.20,0
.756,.650,4.05,4.22,1
.754,.651,4.05,4.23,1
.748,.693,4.74,4.02,0
.747,.694,4.73,4.00,0
.746,.691,4.70,3.99,1
.747,.690,4.69,4.01,1
.748,.689,4.67,3.98,0
.748,.688,4.67,3.97,0
.748,.686,4.64,3.98,1
.761,.694,4.52,3.53,1
.763,.694,4.51,3.58,1
.765,.692,4.46,3.61,1
.763,.695,4.32,3.81,0
.771,.698,4.35,3.92,1
.769,.701,4.37,3.90,0
.759,.714,4.46,4.05,1
.758,.713,4.43,4.02,0
.758,.713,4.43,4.02,0
.759,.714,4.44,4.02,0
.770,.710,4.35,4.07,1
.769,.709,4.31,4.05,1
.769,.711,4.33,4.04,0
.762,.717,4.21,4.03,1
.764,.718,4.21,4.06,1
.764,.716,4.19,4.05,1
.766,.721,4.18,4.13,1
.764,.721,4.17,4.10,0
.765,.722,4.19,4.10,0
.833,.621,3.00,6.00,1
.710,.844,5.29,3.50,0
.745,.680,5.28,2.93,0
.742,.691,5.28,2.96,0
.754,.690,5.19,3.11,1
.739,.717,4.71,3.76,0
.735,.716,4.68,3.68,0
.738,.714,4.65,3.68,1
.732,.719,4.71,3.65,0
.748,.716,4.70,4.07,1
.757,.714,4.63,4.19,1
.761,.720,4.62,4.25,1
.759,.729,5.10,4.80,0
.759,.728,5.09,4.81,1
.758,.729,5.11,4.78,0
.754,.740,5.31,4.82,0
.752,.739,5.28,4.81,1
.753,.742,5.31,4.81,0
.756,.739,5.27,4.86,1
.705,.899,4.42,6.28,1
.699,.862,3.97,6.24,1
.659,.804,3.51,5.45,1
.716,.721,4.29,5.09,1
.718,.728,4.37,5.03,0
.715,.724,4.32,5.00,1
.710,.704,4.23,4.57,1
.712,.702,4.22,4.60,1
.711,.701,4.18,4.58,1
.674,.705,4.36,4.96,1
.673,.704,4.38,4.94,0
.672,.705,4.39,4.94,0
.679,.713,4.44,4.92,1
.678,.712,4.46,4.90,0
.676,.713,4.47,4.86,0
.677,.715,4.49,4.84,0
.682,.718,4.55,4.74,0
.683,.716,4.53,4.75,1
.687,.714,4.50,4.79,1
.615,.739,3.06,5.69,1
.627,.743,3.26,5.54,0
.636,.728,3.25,5.44,1
.690,.762,4.08,5.68,0
.676,.759,4.10,5.44,0
.664,.723,4.87,5.05,0
.665,.726,4.90,5.02,0
.671,.727,4.90,5.07,1
.673,.703,5.14,4.91,0
.674,.707,5.13,4.90,0
.677,.709,5.14,4.94,1
.676,.711,5.16,4.90,0
.683,.723,5.28,4.96,0
.683,.725,5.27,4.94,0
.686,.726,5.26,4.95,1
.682,.729,5.26,4.92,0
.682,.729,5.25,4.91,1
.682,.728,5.24,4.90,0
.751,.732,4.90,4.47,1
.741,.735,5.11,4.44,0
.743,.742,5.23,4.26,0
.720,.757,5.63,4.21,0
.719,.766,5.87,4.16,0
.710,.770,5.86,4.11,0
.696,.783,6.03,3.95,0
.729,.801,5.81,3.65,0
.722,.810,6.02,3.57,0
.718,.810,6.01,3.53,0
