Wops(A),Pops(A),Wera(D),Pera(D),winsW
.771,.722,3.66,3.50,1
.776,.714,3.58,3.57,1
.769,.711,3.56,3.53,0
.775,.718,3.71,3.63,0
.754,.732,4.49,3.46,0
.751,.730,4.46,3.46,1
.751,.732,4.47,3.45,0
.788,.750,3.40,4.93,0
.806,.748,3.36,4.93,1
.798,.752,3.45,4.86,0
.765,.746,4.41,3.83,1
.762,.743,4.38,3.80,1
.766,.741,4.34,3.88,1
.740,.775,4.67,3.44,0
.735,.776,4.62,3.41,0
.736,.772,4.56,3.46,1
.745,.779,4.63,3.49,0
.760,.857,4.97,4.05,0
.760,.856,4.95,4.06,1
.764,.854,4.91,4.15,1
.692,.768,4.38,2.94,0
.689,.771,4.43,2.92,0
.689,.768,4.42,2.94,1
.685,.760,4.43,3.09,0
.685,.760,4.43,3.10,0
.684,.760,4.43,3.11,0
.670,.860,4.71,3.57,0
.671,.868,4.85,3.58,0
.665,.866,4.83,3.52,0
.679,.834,5.12,3.74,0
.680,.836,5.13,3.74,0
.678,.834,5.10,3.72,1
.677,.834,5.11,3.72,0
