Wops(A),Pops(A),Wera(D),Pera(D),winsW
.795,.812,4.06,3.10,0
.780,.809,4.08,3.00,0
.770,.796,3.95,2.96,1
.771,.783,3.95,3.08,1
.764,.780,3.85,3.40,1
.761,.787,3.89,3.35,0
.750,.778,3.82,3.23,0
.760,.725,4.46,3.55,0
.759,.724,4.43,3.54,1
.762,.724,4.44,3.59,1
.759,.726,4.48,3.57,0
.757,.728,4.49,3.54,0
.756,.727,4.48,3.57,1
.757,.728,4.60,3.55,1
.755,.734,4.66,3.53,0
.756,.738,4.74,3.56,0
.752,.732,4.73,3.77,1
.754,.732,4.72,3.78,1
.752,.738,4.76,3.75,0
.794,.691,3.87,3.05,0
.783,.701,3.72,3.05,1
.757,.716,3.70,2.84,0
.776,.724,4.36,4.04,1
.775,.730,4.46,4.03,0
.775,.738,4.64,4.04,0
.768,.734,4.57,3.97,0
.766,.728,4.53,4.19,1
.764,.729,4.57,4.18,0
.765,.726,4.54,4.19,1
.764,.708,4.21,4.20,0
.761,.708,4.21,4.17,0
.760,.709,4.21,4.14,0
.765,.710,4.18,4.02,1
.765,.710,4.19,4.00,0
.767,.710,4.20,4.02,1
.762,.710,4.20,4.19,1
.762,.711,4.22,4.19,0
.764,.715,4.27,4.22,0
.735,.667,4.75,4.39,1
.727,.665,4.69,4.30,0
.732,.665,4.70,4.33,1
.756,.700,4.83,4.25,1
.755,.705,4.87,4.22,0
.757,.702,4.83,4.26,1
.762,.708,4.80,4.26,1
.765,.707,4.78,4.30,1
.763,.708,4.77,4.29,0
.763,.714,4.87,4.28,0
.763,.724,4.86,4.23,0
.762,.722,4.84,4.20,0
.760,.727,4.96,4.17,0
.755,.727,5.16,4.59,0
.760,.726,5.14,4.65,1
.759,.731,5.19,4.63,0
.753,.732,5.39,4.61,0
.753,.733,5.40,4.60,0
.752,.732,5.37,4.60,1
.737,.601,4.73,8.31,1
.656,.552,4.04,6.17,0
.703,.661,4.01,5.07,1
.690,.657,3.90,4.90,0
.716,.657,3.80,5.31,1
.712,.668,4.01,5.25,0
.721,.707,4.26,5.31,0
.718,.703,4.27,5.21,0
.724,.697,4.17,5.14,1
.724,.695,4.17,5.05,0
.684,.668,4.36,5.32,1
.681,.670,4.37,5.31,0
.682,.670,4.37,5.33,1
.676,.681,4.50,5.23,0
.674,.684,4.54,5.21,0
.684,.697,4.52,5.04,1
.684,.697,4.50,5.02,0
.685,.697,4.50,5.01,1
.683,.698,4.49,4.99,0
.518,.684,2.25,5.33,1
.564,.684,2.44,5.52,1
.569,.666,2.30,5.27,1
.678,.732,4.07,5.08,1
.678,.754,4.40,5.02,0
.680,.748,4.31,5.01,1
.674,.714,4.84,5.17,0
.673,.713,4.80,5.13,1
.672,.715,4.82,5.10,0
.674,.710,5.02,5.08,0
.671,.709,5.01,5.03,0
.677,.710,5.04,5.11,1
.680,.712,5.19,5.08,1
.682,.712,5.16,5.08,1
.680,.711,5.16,5.04,0
.679,.715,5.20,5.01,0
.682,.705,5.20,5.15,0
.682,.707,5.20,5.14,0
.684,.707,5.19,5.15,1
.673,.714,6.94,3.86,0
.708,.661,5.93,3.98,1
.701,.660,5.60,4.24,1
.719,.681,5.52,4.05,0
.726,.713,5.88,4.43,1
.716,.709,5.81,4.33,0
.710,.713,5.76,4.43,0
.707,.713,5.72,4.38,0
.707,.712,5.67,4.36,1
.700,.711,5.63,4.30,0
