Wops(A),Pops(A),Wera(D),Pera(D),winsW
.966,.323,0.00,4.50,1
1.019,.333,0.00,7.88,1
.979,.349,0.00,7.88,1
.801,.612,3.72,4.37,1
.781,.615,3.71,4.19,0
.805,.630,3.86,4.48,1
.750,.693,3.72,4.00,1
.744,.704,3.78,3.88,0
.769,.695,3.70,4.13,1
.771,.698,4.19,3.81,1
.774,.699,4.24,3.84,0
.774,.704,4.27,3.85,0
.771,.707,4.31,3.81,0
.753,.706,4.77,4.10,0
.753,.706,4.76,4.11,1
.752,.705,4.74,4.12,1
.749,.707,4.68,4.13,1
.748,.707,4.68,4.11,0
.748,.708,4.69,4.09,0
.755,.694,3.81,4.10,1
.749,.688,3.69,3.97,1
.756,.691,3.74,4.05,1
.738,.685,4.60,4.92,1
.742,.685,4.54,5.00,1
.747,.681,4.50,4.98,1
.763,.730,4.49,4.91,1
.759,.730,4.51,4.88,0
.758,.728,4.48,4.84,0
.760,.744,4.23,4.96,1
.762,.743,4.23,4.99,1
.764,.743,4.24,5.00,1
.762,.748,4.21,5.18,1
.760,.750,4.23,5.15,0
.762,.750,4.25,5.17,1
.761,.750,4.25,5.14,0
.760,.743,4.24,5.11,1
.761,.742,4.23,5.13,1
.760,.741,4.21,5.11,1
.731,.694,3.48,2.07,1
.722,.672,3.42,2.48,1
.736,.713,4.28,2.77,0
.710,.684,5.39,3.17,0
.723,.690,5.30,3.28,1
.739,.688,5.23,3.60,1
.765,.735,4.85,4.82,1
.764,.736,4.87,4.81,0
.767,.738,4.88,4.84,1
.754,.736,4.91,4.69,0
.757,.741,4.96,4.76,1
.756,.741,4.97,4.73,0
.756,.766,5.34,4.65,0
.755,.766,5.35,4.64,0
.755,.766,5.37,4.63,0
.755,.768,5.41,4.63,0
.752,.769,5.38,4.63,0
.749,.767,5.36,4.61,1
.748,.768,5.36,4.59,0
.718,.718,4.32,4.40,0
.713,.719,4.37,4.30,0
.714,.715,4.30,4.29,1
.709,.720,4.33,4.16,0
.711,.716,4.29,4.17,1
.710,.712,4.25,4.16,1
.670,.714,4.38,4.47,1
.671,.714,4.38,4.46,0
.671,.713,4.36,4.46,1
.675,.717,4.44,4.46,0
.676,.717,4.45,4.45,0
.676,.720,4.45,4.47,1
.676,.721,4.46,4.46,0
.683,.719,4.49,4.62,0
.681,.719,4.50,4.60,0
.680,.719,4.52,4.59,0
.682,.717,4.47,4.56,1
.682,.720,4.48,4.56,0
.681,.722,4.51,4.55,0
.587,.804,2.74,4.27,0
.596,.832,2.98,4.25,0
.663,.824,4.61,3.69,0
.671,.823,4.56,3.73,1
.671,.831,4.67,3.71,0
.674,.829,4.62,3.74,1
.666,.852,4.78,3.92,0
.676,.848,4.75,4.01,1
.676,.856,4.86,3.97,0
.681,.837,5.12,4.19,1
.682,.838,5.14,4.18,0
.681,.838,5.16,4.18,0
.678,.841,5.17,4.14,0
.681,.843,5.18,4.18,1
.681,.842,5.20,4.17,0
.681,.842,5.19,4.16,0
.685,.832,5.25,4.22,0
.682,.832,5.25,4.19,0
.683,.832,5.26,4.19,0
.745,.730,5.71,3.70,1
.748,.726,5.63,3.75,1
.746,.720,5.51,3.74,1
.750,.722,5.42,3.57,0
.744,.722,5.34,3.54,0
.738,.719,5.30,3.53,0
.753,.726,5.38,3.67,1
.743,.730,5.41,3.63,0
.704,.746,5.66,3.48,0
.706,.747,5.70,3.52,0
