Wops(A),Pops(A),Wera(D),Pera(D),winsW
.843,.729,2.48,3.56,1
.838,.739,2.59,3.45,0
.815,.765,3.22,3.49,0
.791,.747,3.15,3.34,0
.742,.739,3.81,3.88,0
.738,.751,3.97,3.86,0
.746,.752,3.97,3.95,1
.890,.828,3.10,4.37,1
.812,.858,3.32,4.30,0
.753,.669,4.55,4.15,0
.761,.699,4.36,4.08,0
.762,.697,4.30,4.11,1
.760,.693,4.25,4.11,1
.763,.783,4.93,3.83,0
.763,.783,4.90,3.83,1
.760,.780,4.85,3.81,1
.758,.778,5.08,3.84,0
.758,.780,5.12,3.83,0
.761,.779,5.12,3.85,1
.619,.759,3.97,4.78,0
.725,.808,4.33,3.76,0
.726,.806,4.29,3.77,1
.678,.782,4.55,3.71,1
.679,.783,4.55,3.72,0
.678,.781,4.54,3.70,0
.683,.781,4.55,3.76,1
.457,.807,2.60,2.50,0
.510,.743,2.33,2.60,1
.499,.696,2.14,2.50,1
.683,.832,5.25,4.38,1
.685,.833,5.27,4.38,0
.684,.834,5.27,4.37,0
