Wops(A),Pops(A),Wera(D),Pera(D),winsW
.765,.712,3.72,3.82,0
.761,.708,3.64,3.74,1
.760,.707,3.61,3.72,1
.746,.708,3.85,3.62,0
.738,.710,3.89,3.57,0
.737,.710,3.91,3.60,0
.716,.661,3.88,3.45,1
.701,.662,3.94,3.33,0
.716,.664,3.94,3.56,1
.730,.667,3.90,3.73,1
.764,.674,4.35,4.86,1
.762,.687,4.53,4.82,0
.755,.686,4.47,4.76,0
.753,.702,4.69,4.43,1
.749,.704,4.74,4.42,0
.746,.714,4.83,4.37,0
.756,.758,5.29,4.74,0
.759,.760,5.31,4.76,0
.758,.758,5.29,4.74,0
.701,.732,4.45,4.10,0
.703,.734,4.47,4.13,0
.700,.733,4.45,4.08,0
.698,.732,4.45,4.06,0
.677,.751,4.32,3.91,0
.676,.751,4.31,3.88,0
.673,.752,4.33,3.84,0
.664,.726,5.00,4.28,0
.658,.727,5.05,4.23,0
.652,.726,5.02,4.16,0
.651,.730,5.07,4.14,0
.651,.730,5.07,4.14,0
.684,.772,5.18,4.03,1
.683,.774,5.22,4.02,0
.681,.773,5.20,4.00,0
