Wops(A),Pops(A),Wera(D),Pera(D),winsW
.941,.688,2.47,3.77,0
.905,.637,2.15,3.55,1
.867,.593,1.91,3.26,1
.754,.691,4.02,2.90,0
.754,.700,4.09,2.90,0
.754,.705,4.14,2.91,0
.777,.828,4.02,2.84,0
.835,.799,3.70,3.53,1
.842,.763,3.60,3.92,1
.835,.770,3.65,4.23,1
.755,.715,4.89,4.14,0
.752,.715,4.90,4.13,0
.755,.713,4.85,4.18,1
.754,.716,4.87,4.19,0
.767,.849,7.62,6.92,0
.634,.773,4.91,4.09,0
.732,.802,5.81,4.65,0
.745,.732,4.15,4.51,1
.744,.745,4.30,4.45,0
.737,.742,4.17,4.27,0
.596,.692,3.08,2.69,0
.591,.679,3.00,2.63,0
.664,.732,4.85,5.09,1
.667,.734,4.90,5.12,0
.699,.607,5.63,5.16,1
.759,.607,5.57,5.55,1
.737,.601,5.21,5.32,1
