Wops(A),Pops(A),Wera(D),Pera(D),winsW
.768,.665,4.23,3.76,1
.770,.670,4.25,3.78,0
.772,.670,4.24,3.79,1
.767,.675,4.33,3.82,1
.770,.680,4.40,3.87,0
.772,.683,4.40,3.91,1
.771,.682,4.37,3.87,0
.771,.771,4.59,3.76,1
.771,.770,4.55,3.76,1
.775,.764,4.50,3.79,1
.774,.765,4.49,3.80,1
.765,.758,4.30,3.96,0
.765,.758,4.28,3.95,0
.762,.759,4.27,3.92,0
.794,.726,5.43,5.03,1
.773,.740,5.51,4.79,0
.756,.731,5.29,4.58,0
.757,.747,4.76,4.68,0
.756,.749,4.77,4.66,0
.758,.750,4.81,4.65,0
.760,.751,4.87,4.67,0
.740,.754,4.20,4.65,1
.739,.763,4.32,4.66,0
.739,.763,4.26,4.68,1
.735,.753,4.26,4.45,1
.732,.749,4.29,4.42,0
.726,.755,4.36,4.37,0
.723,.750,4.32,4.29,0
.670,.763,5.18,5.24,0
.671,.762,5.16,5.21,0
.669,.766,5.20,5.17,0
.668,.764,5.17,5.13,0
.682,.756,5.24,5.17,0
.682,.756,5.21,5.15,1
.682,.758,5.23,5.13,0
