Wops(A),Pops(A),Wera(D),Pera(D),winsW
.762,.682,4.39,3.55,0
.762,.686,4.45,3.54,0
.757,.684,4.41,3.50,1
.754,.712,4.72,3.71,1
.754,.711,4.72,3.71,1
.753,.714,4.74,3.68,0
.748,.740,4.56,3.66,0
.751,.737,4.52,3.70,1
.758,.738,4.51,3.85,1
.774,.740,4.60,4.47,1
.777,.736,4.57,4.52,1
.775,.733,4.52,4.50,1
.774,.731,4.48,4.50,1
.727,.724,4.97,3.57,0
.737,.734,5.14,3.79,0
.718,.755,5.30,3.62,0
.762,.769,4.71,4.03,1
.767,.769,4.70,4.12,1
.765,.767,4.67,4.09,0
.760,.771,4.74,4.05,0
.721,.753,4.29,4.57,0
.717,.746,4.17,4.49,1
.713,.735,4.05,4.41,1
.698,.711,4.38,3.56,0
.695,.710,4.39,3.54,0
.694,.713,4.39,3.53,0
.671,.773,4.76,3.07,1
.666,.771,4.73,3.02,0
.665,.777,4.75,2.99,0
.681,.759,5.18,3.53,1
.676,.755,5.13,3.49,0
.678,.754,5.12,3.49,0
