Wops(A),Pops(A),Wera(D),Pera(D),winsW
.763,.727,4.49,4.43,1
.762,.726,4.46,4.39,0
.762,.725,4.45,4.38,0
.761,.725,4.45,4.36,0
.749,.736,4.68,4.24,1
.749,.737,4.67,4.25,0
.749,.738,4.69,4.24,0
.722,.698,4.08,3.91,0
.729,.712,4.29,3.94,0
.722,.719,4.42,3.91,0
.762,.757,4.31,4.35,0
.764,.754,4.27,4.33,1
.766,.750,4.23,4.36,1
.746,.726,4.78,3.70,0
.753,.720,4.74,3.83,1
.751,.728,4.74,3.79,0
.755,.748,4.98,4.42,0
.756,.751,5.02,4.42,0
.758,.756,5.07,4.43,0
.728,.698,4.21,4.96,0
.734,.699,4.21,4.99,1
.735,.705,4.23,4.93,0
.697,.722,4.41,4.68,0
.696,.719,4.37,4.67,1
.699,.719,4.34,4.65,1
.696,.718,4.32,4.60,0
.667,.784,4.94,4.83,0
.666,.786,4.93,4.78,0
.666,.784,4.90,4.74,0
.670,.771,5.10,5.00,0
.671,.772,5.08,4.99,0
.671,.772,5.12,4.96,0
