Wops(A),Pops(A),Wera(D),Pera(D),winsW
.756,.780,4.16,4.19,1
.760,.780,4.15,4.23,1
.762,.783,4.22,4.24,0
.760,.780,4.49,3.80,0
.758,.785,4.57,3.78,0
.757,.788,4.61,3.76,0
.771,.718,4.38,3.72,1
.767,.715,4.33,3.71,1
.766,.719,4.38,3.68,0
.773,.772,4.56,3.84,0
.769,.774,4.58,3.80,0
.768,.772,4.55,3.79,1
.766,.774,4.57,3.76,0
.752,.728,4.89,4.49,0
.757,.723,4.84,4.57,1
.757,.723,4.83,4.56,1
.758,.722,5.17,4.50,1
.758,.724,5.18,4.49,0
.757,.726,5.20,4.47,0
.730,.713,4.22,4.73,1
.732,.712,4.22,4.78,1
.729,.716,4.28,4.77,0
.695,.731,4.44,4.54,0
.695,.732,4.44,4.52,0
.699,.729,4.40,4.57,1
.696,.725,4.36,4.55,1
.493,.153,0.00,1.80,1
.404,.369,2.50,0.95,0
.417,.489,2.77,0.64,0
.480,.516,2.68,1.38,1
.675,.709,5.23,4.89,0
.675,.711,5.25,4.89,0
.678,.709,5.21,4.88,1
