Wops(A),Pops(A),Wera(D),Pera(D),winsW
.718,.661,3.64,4.26,0
.720,.653,3.57,4.24,1
.722,.654,3.60,4.15,0
.713,.645,3.64,4.26,0
.711,.648,3.65,4.22,0
.708,.654,3.67,4.16,0
.732,.728,4.65,3.20,1
.739,.728,4.61,3.24,1
.731,.722,4.56,3.19,0
.747,.714,3.86,4.03,1
.745,.718,3.90,4.04,0
.742,.717,3.90,4.00,0
.858,.722,4.23,4.69,0
.855,.724,4.26,4.66,0
.853,.724,4.24,4.62,0
.824,.737,4.23,4.85,1
.824,.735,4.22,4.85,1
.822,.734,4.21,4.82,0
.726,.701,2.34,5.91,1
.741,.690,2.28,6.15,1
.744,.692,2.22,6.20,1
.770,.707,2.85,4.81,1
.774,.706,2.86,4.89,1
.779,.704,2.90,4.97,1
.777,.703,2.88,4.95,1
.858,.722,3.36,5.01,1
.858,.713,3.31,5.02,1
.860,.719,3.42,5.00,0
.851,.720,3.42,4.89,0
.840,.704,3.68,4.85,1
.836,.704,3.67,4.80,0
.839,.708,3.71,4.84,0
