Wops(A),Pops(A),Wera(D),Pera(D),winsW
.735,.728,3.55,3.51,1
.734,.726,3.50,3.52,1
.736,.725,3.52,3.56,1
.736,.735,3.51,3.48,1
.733,.733,3.49,3.45,0
.731,.733,3.51,3.43,0
.821,.684,6.25,3.17,1
.803,.670,5.82,3.00,0
.788,.670,5.38,2.88,0
.766,.690,5.44,2.78,0
.737,.731,3.97,4.07,1
.745,.736,3.97,4.19,1
.741,.740,4.00,4.15,0
.650,.616,2.02,6.00,0
.666,.653,2.79,5.36,0
.714,.652,2.83,5.03,1
.816,.669,3.43,4.34,1
.817,.677,3.52,4.34,0
.816,.679,3.59,4.32,0
.815,.674,3.54,4.34,1
.772,.681,2.94,5.30,1
.774,.678,2.90,5.35,1
.777,.677,2.89,5.37,1
.773,.673,2.83,5.25,0
.771,.668,2.82,5.21,1
.773,.667,2.81,5.27,1
.837,.746,3.60,5.05,1
.834,.758,3.84,4.97,0
.841,.748,3.73,5.09,1
.846,.708,3.76,5.12,1
.846,.707,3.74,5.12,1
.848,.707,3.74,5.17,1
