Wops(A),Pops(A),Wera(D),Pera(D),winsW
.726,.704,3.30,4.15,0
.725,.702,3.29,4.15,1
.726,.704,3.32,4.16,0
.730,.703,3.33,4.19,1
.730,.702,3.33,4.17,0
.731,.703,3.34,4.20,1
.717,.694,4.85,3.97,0
.719,.693,4.82,4.06,1
.739,.692,4.79,4.51,1
.726,.750,3.77,4.82,0
.727,.751,3.78,4.83,1
.731,.753,3.80,4.90,1
.735,.752,3.79,4.93,1
.796,.750,3.48,4.37,1
.796,.744,3.45,4.41,1
.811,.750,3.49,4.64,1
.857,.737,3.93,4.89,1
.856,.738,3.93,4.86,0
.854,.736,3.92,4.86,1
.725,.738,1.82,3.38,1
.713,.732,2.02,3.11,0
.730,.749,2.57,3.50,0
.758,.719,3.10,4.59,1
.758,.717,3.10,4.60,1
.760,.717,3.08,4.63,1
.839,.857,3.79,4.50,0
.844,.843,3.80,4.60,1
.852,.826,3.68,4.73,1
.808,.835,3.49,4.15,0
.819,.820,3.37,4.37,1
.810,.816,3.47,4.28,0
.804,.822,3.63,4.20,0
