Wops(A),Pops(A),Wera(D),Pera(D),winsW
.734,.760,3.57,4.11,1
.730,.759,3.56,4.08,0
.733,.762,3.62,4.11,0
.733,.756,3.58,4.09,1
.722,.749,3.33,3.85,0
.726,.746,3.31,3.93,1
.727,.744,3.30,3.95,1
.587,.518,3.00,2.00,1
.794,.938,9.53,4.00,0
.771,.962,9.36,4.33,0
.747,.702,3.73,4.16,0
.747,.704,3.75,4.15,0
.747,.702,3.73,4.15,1
.786,.811,3.35,3.56,1
.784,.800,3.29,3.61,1
.780,.809,3.51,3.65,0
.785,.809,3.57,3.77,1
.831,.806,3.92,3.83,0
.832,.807,3.95,3.88,1
.836,.804,3.91,3.93,1
.746,.797,2.54,3.62,1
.736,.789,2.58,3.50,0
.726,.790,2.63,3.38,0
.721,.784,2.73,3.40,0
.750,.801,2.58,3.89,1
.749,.805,2.64,3.86,0
.746,.803,2.68,3.84,0
.757,.859,3.06,3.03,1
.773,.832,3.06,3.34,1
.819,.832,3.29,3.77,1
.812,.791,3.67,3.97,0
.811,.791,3.68,3.93,0
.812,.790,3.72,3.95,0
.816,.788,3.72,4.01,1
