Wops(A),Pops(A),Wera(D),Pera(D),winsW
.598,.829,2.82,2.40,0
.596,.810,2.96,2.14,0
.638,.785,2.75,2.54,1
.667,.749,3.02,3.22,1
.684,.738,3.02,3.42,1
.686,.732,3.18,3.50,1
.714,.716,3.55,3.92,0
.722,.720,3.56,3.98,1
.725,.714,3.47,4.04,1
.739,.692,3.52,3.45,1
.736,.693,3.52,3.43,0
.735,.692,3.51,3.41,0
.734,.694,3.53,3.41,0
.733,.705,3.39,3.79,0
.731,.706,3.40,3.76,0
.735,.706,3.41,3.81,1
.732,.707,3.53,3.91,0
.735,.709,3.54,3.96,1
.737,.707,3.53,3.97,1
.738,.682,5.08,3.74,0
.727,.676,4.97,3.59,0
.718,.669,4.80,3.53,1
.724,.698,4.22,4.77,1
.726,.700,4.21,4.77,1
.728,.698,4.17,4.75,1
.743,.699,3.87,4.74,0
.745,.703,3.92,4.80,1
.741,.705,3.91,4.77,0
.739,.701,3.87,4.73,1
.740,.708,3.84,4.70,0
.740,.710,3.84,4.68,0
.740,.706,3.80,4.70,1
.741,.701,3.96,4.51,1
.741,.699,3.93,4.50,1
.740,.698,3.90,4.50,1
.739,.704,4.00,4.52,1
.738,.701,3.98,4.50,1
.739,.700,3.98,4.51,1
.746,.691,3.34,3.75,1
.749,.709,3.55,4.20,1
.771,.702,3.50,4.17,1
.763,.704,3.44,4.04,0
.764,.697,3.38,4.14,1
.822,.737,3.65,4.79,1
.824,.738,3.66,4.84,1
.822,.734,3.62,4.84,1
.826,.737,3.69,4.93,1
.828,.743,3.80,4.75,0
.832,.745,3.86,4.84,1
.834,.742,3.82,4.86,1
.844,.739,4.19,4.75,1
.844,.738,4.16,4.74,1
.842,.737,4.13,4.72,0
.832,.751,4.14,4.82,0
.830,.754,4.19,4.79,0
.829,.757,4.24,4.78,0
.828,.760,4.29,4.76,0
.734,.796,2.63,4.10,0
.753,.780,2.54,4.33,1
.752,.778,2.59,4.41,1
.743,.745,2.66,4.34,1
.746,.741,2.64,4.33,1
.749,.733,2.60,4.32,1
.758,.722,2.91,3.90,1
.766,.722,2.94,4.03,1
.769,.720,2.94,4.05,1
.773,.740,2.87,4.01,0
.772,.739,2.88,4.02,1
.770,.741,2.94,4.01,0
.768,.741,2.97,4.01,0
.756,.751,3.05,3.79,0
.753,.752,3.08,3.77,0
.756,.752,3.09,3.81,1
.764,.760,3.12,3.78,1
.761,.758,3.12,3.77,0
.762,.758,3.13,3.77,1
.679,.695,2.82,2.94,1
.721,.679,2.49,3.22,1
.760,.704,3.07,3.67,1
.828,.775,3.04,4.63,1
.804,.767,3.00,4.46,0
.833,.755,3.40,4.13,1
.832,.751,3.36,4.15,1
.827,.752,3.35,4.16,1
.825,.771,3.83,4.05,1
.822,.768,3.82,4.03,0
.822,.765,3.79,4.03,1
.840,.766,3.74,4.06,0
.836,.764,3.72,4.03,0
.836,.765,3.76,4.03,0
.836,.763,3.74,4.03,1
.846,.770,3.66,4.07,1
.848,.777,3.78,4.09,0
.848,.777,3.79,4.08,0
.846,.775,3.79,4.07,0
.747,.674,4.09,2.82,0
.725,.684,3.98,2.70,0
.719,.699,4.20,2.66,0
.752,.730,4.21,3.40,1
.758,.732,4.21,3.51,1
.753,.730,4.56,3.56,0
.752,.731,4.57,3.54,0
.750,.732,4.58,3.58,1
.745,.729,4.55,3.54,0
.735,.727,4.53,3.48,0
