Wops(A),Pops(A),Wera(D),Pera(D),winsW
.655,.724,2.98,5.03,1
.658,.710,2.98,5.03,1
.665,.704,3.00,4.83,0
.727,.681,3.04,3.93,1
.737,.681,3.04,3.96,1
.762,.687,3.08,4.22,1
.770,.696,3.12,4.35,1
.715,.678,3.61,3.76,1
.713,.683,3.68,3.71,0
.720,.678,3.62,3.85,1
.735,.670,3.64,3.81,0
.734,.672,3.68,3.80,0
.736,.669,3.65,3.82,1
.729,.712,3.32,4.32,1
.729,.714,3.34,4.32,0
.728,.716,3.36,4.31,0
.743,.723,3.56,4.16,1
.743,.723,3.57,4.16,0
.745,.724,3.57,4.18,1
.754,.695,4.78,3.37,0
.736,.704,5.02,3.20,0
.739,.712,4.97,3.33,1
.740,.738,4.83,3.04,0
.744,.731,4.77,3.08,1
.739,.736,4.69,3.03,0
.738,.727,4.57,3.08,1
.742,.772,3.87,3.87,1
.743,.770,3.85,3.88,1
.747,.774,3.89,3.94,1
.740,.770,3.86,3.98,1
.737,.769,3.84,3.94,0
.740,.769,3.81,3.97,1
.743,.759,4.01,4.08,1
.741,.758,3.99,4.06,1
.740,.759,4.01,4.06,0
.736,.754,4.00,4.01,0
.737,.754,4.00,4.01,1
.738,.756,4.05,4.01,0
.686,.339,0.00,3.38,1
.693,.436,0.50,2.81,1
.690,.466,1.16,3.14,1
.681,.502,1.80,2.87,0
.686,.574,3.12,4.04,0
.711,.596,3.31,4.37,1
.741,.607,3.47,4.94,1
.827,.758,3.82,4.65,0
.826,.755,3.80,4.64,1
.827,.752,3.77,4.68,1
.854,.753,3.96,4.52,0
.856,.750,3.94,4.54,1
.853,.748,3.94,4.51,0
.834,.745,4.14,4.50,1
.831,.744,4.11,4.49,1
.831,.743,4.11,4.49,1
.822,.748,4.26,4.42,1
.823,.749,4.27,4.45,1
.824,.747,4.25,4.46,1
.679,.750,2.71,4.61,0
.683,.727,2.62,4.57,1
.692,.707,2.48,4.66,1
.710,.695,2.45,4.92,1
.743,.734,2.89,3.77,0
.748,.738,2.90,3.82,1
.755,.728,3.09,4.01,0
.757,.727,3.08,4.02,1
.761,.726,3.08,4.06,1
.760,.729,3.04,4.17,0
.759,.728,3.06,4.15,0
.757,.728,3.06,4.14,0
.754,.729,3.06,4.12,0
.754,.724,3.11,4.19,0
.755,.723,3.10,4.18,1
.758,.724,3.13,4.22,1
.758,.721,3.13,4.10,0
.758,.719,3.11,4.12,1
.756,.721,3.15,4.09,0
.845,.917,3.42,4.35,1
.833,.892,3.25,4.27,1
.820,.872,3.17,4.20,1
.823,.766,3.33,5.26,1
.827,.763,3.35,5.36,1
.822,.772,3.53,5.29,0
.824,.768,3.56,5.28,1
.812,.774,3.85,5.22,1
.810,.774,3.86,5.20,1
.810,.772,3.83,5.20,1
.827,.765,3.75,5.20,1
.830,.761,3.72,5.22,1
.827,.759,3.69,5.20,1
.837,.754,3.73,5.07,1
.837,.753,3.73,5.08,1
.836,.752,3.71,5.06,1
.842,.749,3.69,5.15,1
.850,.747,3.72,5.08,1
.848,.744,3.69,5.07,1
.816,.575,2.00,7.88,1
.887,.703,2.00,7.88,1
.853,.748,3.67,7.20,0
.875,.758,3.75,7.36,1
.746,.666,3.94,5.90,1
.740,.658,3.80,5.75,1
.732,.651,3.71,5.60,1
.714,.686,4.28,5.20,0
.716,.682,4.22,5.21,1
.713,.682,4.21,5.15,0
