Wops(A),Pops(A),Wera(D),Pera(D),winsW
.728,.684,3.58,3.61,0
.725,.683,3.58,3.57,0
.723,.682,3.58,3.56,0
.730,.704,3.47,3.66,0
.731,.703,3.46,3.65,1
.730,.701,3.43,3.64,1
.726,.700,3.41,3.61,0
.726,.746,4.18,4.11,0
.725,.747,4.16,4.11,1
.718,.746,4.17,4.04,0
.741,.733,3.97,4.07,1
.743,.733,3.95,4.08,1
.742,.736,3.99,4.08,0
.759,.756,3.11,3.76,1
.752,.762,3.29,3.72,0
.759,.754,3.31,3.76,1
.858,.758,4.18,4.21,1
.857,.761,4.20,4.21,0
.854,.760,4.19,4.17,0
.852,.760,4.17,4.16,0
.776,.709,2.91,3.91,1
.773,.708,2.89,3.87,0
.777,.705,2.86,3.89,1
.777,.709,2.82,3.68,1
.773,.706,2.80,3.66,0
.770,.706,2.83,3.62,0
.767,.706,2.84,3.60,0
.953,.464,1.00,5.00,1
.754,.486,1.06,3.50,0
.716,.520,1.80,2.67,0
.638,.555,2.18,2.25,0
.842,.752,3.67,3.63,1
.842,.752,3.68,3.66,1
.842,.754,3.72,3.68,0
