Wops(A),Pops(A),Wera(D),Pera(D),winsW
.499,.541,2.00,4.60,1
.567,.589,2.05,4.15,0
.605,.579,2.17,4.09,1
.758,.636,3.08,4.13,0
.745,.648,3.22,4.01,0
.743,.666,3.49,3.97,0
.725,.714,3.57,4.20,1
.724,.719,3.60,4.21,0
.729,.715,3.57,4.28,1
.743,.727,3.55,4.56,0
.742,.728,3.56,4.54,0
.740,.727,3.54,4.53,0
.734,.725,3.39,4.29,0
.734,.726,3.41,4.29,0
.734,.731,3.49,4.29,0
.733,.732,3.52,4.27,0
.740,.738,3.56,4.22,0
.743,.738,3.58,4.24,1
.742,.736,3.57,4.22,1
.758,.703,4.98,4.16,0
.755,.699,4.81,3.95,0
.753,.725,4.99,3.96,0
.724,.719,4.50,4.18,0
.718,.715,4.44,4.10,0
.713,.720,4.54,4.03,0
.726,.740,4.20,3.93,0
.726,.742,4.21,3.91,0
.726,.740,4.16,3.90,1
.724,.742,4.18,3.88,0
.730,.749,3.77,4.36,1
.729,.751,3.76,4.34,0
.728,.751,3.77,4.31,0
.741,.757,3.94,4.31,0
.742,.760,4.01,4.30,0
.743,.761,4.02,4.32,1
.742,.761,4.05,4.40,0
.741,.760,4.04,4.38,0
.742,.760,4.04,4.41,1
.761,.687,3.33,3.95,1
.769,.700,3.46,4.11,1
.784,.694,3.38,4.27,1
.787,.706,3.57,4.23,0
.811,.726,3.45,4.21,1
.811,.723,3.46,4.24,1
.815,.721,3.43,4.27,1
.806,.728,3.74,4.13,0
.805,.727,3.74,4.10,0
.813,.726,3.72,4.25,1
.852,.745,4.24,4.48,0
.850,.747,4.27,4.46,0
.848,.747,4.25,4.44,1
.835,.760,4.14,4.43,0
.832,.761,4.17,4.41,0
.831,.759,4.14,4.41,1
.820,.752,4.17,4.56,1
.823,.751,4.15,4.63,1
.824,.751,4.14,4.67,1
.791,.490,1.00,4.00,1
.646,.675,3.18,2.50,0
.784,.626,3.12,4.67,1
.812,.615,2.83,5.50,1
.730,.652,2.53,4.77,1
.722,.674,2.74,4.75,0
.694,.662,2.74,4.50,0
.739,.699,2.56,4.80,0
.745,.694,2.52,4.82,1
.747,.689,2.49,4.84,1
.749,.703,2.89,4.69,1
.750,.701,2.89,4.73,1
.751,.701,2.88,4.72,1
.754,.704,2.93,4.75,1
.769,.722,2.84,4.70,1
.770,.723,2.85,4.69,1
.761,.723,3.06,4.89,0
.760,.726,3.10,4.87,0
.758,.724,3.10,4.85,0
.661,.802,1.93,7.50,1
.696,.817,2.70,6.80,0
.667,.781,2.95,5.67,0
.814,.772,2.95,5.23,1
.820,.779,3.23,5.16,0
.838,.793,3.58,5.31,0
.841,.787,3.69,5.16,1
.840,.774,3.59,5.11,1
.843,.773,3.60,5.21,1
.856,.773,3.64,5.35,1
.812,.774,3.88,4.77,0
.813,.777,3.93,4.79,0
.814,.775,3.92,4.80,1
.816,.772,3.92,4.85,1
.819,.770,3.89,5.02,1
.821,.766,3.86,5.04,1
.822,.764,3.85,5.05,1
.848,.747,3.72,4.94,1
.848,.746,3.71,4.93,1
.754,.638,4.19,5.09,0
.747,.631,4.09,5.02,1
.755,.633,4.09,5.12,1
.735,.645,4.55,5.18,1
.729,.640,4.45,5.07,0
.723,.634,4.38,5.02,1
.723,.637,4.21,5.16,1
.721,.638,4.20,5.11,0
.718,.643,4.24,5.03,0
.720,.648,4.31,5.02,0
