Wops(A),Pops(A),Wera(D),Pera(D),winsW
.708,.760,3.58,4.62,1
.716,.755,3.59,4.73,1
.721,.753,3.63,4.78,1
.721,.751,3.59,4.78,1
.719,.768,3.55,4.35,0
.717,.769,3.58,4.31,0
.717,.773,3.65,4.30,0
.738,.763,3.83,3.80,1
.735,.762,3.81,3.77,0
.732,.762,3.80,3.75,0
.730,.761,3.81,3.72,0
.737,.757,3.78,3.77,1
.736,.757,3.79,3.76,0
.734,.760,3.83,3.73,0
.846,.726,3.94,4.39,0
.850,.725,3.92,4.45,1
.848,.727,3.96,4.42,0
.855,.726,3.93,4.53,1
.859,.729,4.19,4.65,1
.856,.728,4.19,4.63,0
.857,.728,4.19,4.65,1
.771,.735,2.85,4.52,0
.776,.731,2.82,4.56,1
.778,.730,2.85,4.58,1
.760,.739,3.14,4.85,1
.760,.739,3.13,4.84,1
.757,.738,3.13,4.81,0
.815,.668,3.50,4.74,1
.819,.664,3.48,4.78,1
.816,.674,3.59,4.71,0
.842,.730,3.72,4.73,1
.841,.732,3.74,4.73,0
.839,.728,3.71,4.71,1
