Wops(A),Pops(A),Wera(D),Pera(D),winsW
1.135,.580,1.00,11.25,1
1.069,.676,3.00,9.56,1
.996,.582,2.33,7.88,1
.811,.672,3.08,4.19,1
.799,.670,3.03,4.05,0
.799,.670,3.03,4.05,0
.793,.657,2.93,3.98,0
.733,.650,3.48,3.90,1
.729,.652,3.47,3.86,0
.732,.653,3.48,3.87,1
.734,.652,3.45,3.87,1
.724,.682,3.57,4.06,1
.723,.684,3.60,4.09,1
.725,.682,3.60,4.10,1
.737,.688,3.62,3.95,0
.736,.689,3.64,3.93,0
.736,.690,3.66,3.94,0
.734,.690,3.79,3.98,0
.733,.690,3.78,3.98,1
.734,.690,3.78,4.00,1
.696,.716,3.84,3.21,1
.695,.713,3.77,3.18,1
.691,.713,3.76,3.15,0
.710,.708,3.81,3.41,1
.714,.710,3.86,3.51,1
.718,.708,3.86,3.54,1
.715,.697,4.13,3.77,0
.716,.693,4.08,3.77,1
.718,.690,4.03,3.76,1
.708,.712,4.32,4.08,0
.707,.711,4.27,4.05,1
.705,.709,4.24,4.04,1
.714,.723,4.05,4.07,0
.714,.724,4.05,4.09,1
.715,.722,4.02,4.07,1
.710,.724,4.22,4.03,0
.709,.723,4.20,4.03,1
.711,.723,4.19,4.07,1
.713,.724,4.19,4.10,1
.577,.633,3.72,2.91,0
.586,.656,3.95,3.02,0
.587,.665,4.02,2.92,0
.619,.679,4.06,3.24,1
.608,.681,4.14,3.11,0
.615,.666,4.02,3.24,1
.610,.676,4.09,3.19,0
.717,.728,4.29,4.55,1
.721,.727,4.26,4.59,1
.725,.727,4.26,4.60,1
.725,.725,4.35,4.61,0
.726,.726,4.35,4.61,1
.730,.727,4.33,4.70,1
.735,.736,4.64,4.83,0
.734,.736,4.63,4.83,1
.734,.736,4.62,4.81,0
.733,.736,4.59,4.80,0
.735,.734,4.57,4.82,1
.733,.735,4.59,4.80,0
.724,1.366,14.00,6.00,0
.655,1.037,9.00,4.50,0
.673,.719,5.21,5.62,0
.674,.727,5.24,5.41,0
.667,.738,5.35,5.19,0
.670,.731,5.22,5.20,1
.683,.736,5.18,5.18,1
.667,.705,5.40,4.96,0
.668,.702,5.34,4.96,1
.667,.705,5.40,4.92,0
.675,.709,5.30,5.03,1
.677,.710,5.29,5.04,1
.676,.712,5.31,5.03,0
.676,.707,5.32,4.93,0
.675,.707,5.29,4.91,1
.676,.709,5.31,4.92,0
.690,.710,5.08,4.79,1
.691,.709,5.07,4.80,1
.690,.708,5.05,4.76,0
.573,.379,3.00,4.50,1
.703,.597,4.50,6.75,1
.619,.720,5.00,5.40,0
.759,.716,5.51,6.05,0
.746,.736,5.52,5.72,0
.738,.735,5.34,5.45,1
.728,.708,5.19,5.05,0
.728,.708,5.19,5.05,0
.722,.708,5.18,5.01,0
.728,.711,5.24,5.05,0
.722,.714,5.31,4.95,1
.716,.710,5.25,4.87,0
.714,.711,5.22,4.82,0
.711,.720,5.07,5.09,1
.715,.717,5.02,5.14,1
.717,.718,5.02,5.17,1
.721,.718,5.00,5.18,1
.706,.714,5.14,4.94,0
.710,.714,5.15,4.96,1
.709,.715,5.12,4.96,1
.670,.729,3.78,5.61,0
.705,.792,4.27,5.53,0
.694,.797,4.45,5.13,0
.718,.826,4.34,3.65,0
.732,.824,4.36,3.82,1
.727,.818,4.34,3.75,0
.708,.805,4.61,3.80,0
.705,.806,4.68,3.80,0
.701,.800,4.61,3.78,0
.698,.805,4.69,3.74,0
