Wops(A),Pops(A),Wera(D),Pera(D),winsW
.932,.530,2.57,6.36,1
.888,.525,2.66,5.64,0
.875,.584,3.19,5.57,0
.840,.592,3.13,4.86,1
.844,.595,3.27,4.98,1
.826,.606,3.25,4.64,0
.728,.686,3.45,3.82,1
.728,.680,3.39,3.79,1
.725,.678,3.36,3.80,1
.721,.694,3.54,3.89,0
.720,.690,3.52,3.87,1
.719,.693,3.53,3.86,0
.718,.694,3.52,3.86,1
.736,.704,3.68,4.18,0
.735,.702,3.67,4.19,1
.733,.701,3.66,4.16,0
.734,.707,3.76,4.07,1
.734,.706,3.74,4.06,1
.734,.704,3.73,4.07,1
.576,.660,2.67,4.13,1
.693,.627,2.00,4.43,1
.675,.640,2.15,4.11,1
.700,.669,3.77,5.03,1
.704,.667,3.73,5.07,1
.706,.676,3.79,5.07,0
.706,.750,4.23,4.94,1
.705,.752,4.24,4.91,0
.708,.750,4.22,4.93,1
.709,.751,4.12,4.92,1
.710,.750,4.11,4.92,1
.715,.746,4.07,4.96,1
.713,.745,4.05,4.94,1
.714,.752,4.03,5.22,1
.714,.752,4.02,5.26,1
.716,.753,4.03,5.25,0
.714,.738,4.21,5.10,1
.714,.738,4.19,5.10,1
.715,.739,4.21,5.11,0
.381,.750,7.88,1.00,0
.382,.797,9.00,1.00,0
.538,.786,7.88,1.67,0
.594,.701,4.07,3.88,0
.605,.707,4.19,3.93,0
.647,.731,4.16,4.17,0
.657,.729,4.15,4.22,1
.660,.738,4.25,4.21,0
.705,.733,4.22,4.79,1
.713,.736,4.24,4.86,1
.716,.739,4.29,4.86,0
.717,.736,4.26,4.88,1
.726,.759,4.50,4.65,1
.724,.764,4.60,4.61,0
.724,.763,4.58,4.62,1
.730,.762,4.63,4.64,0
.730,.763,4.65,4.64,0
.732,.764,4.63,4.65,1
.735,.764,4.62,4.70,1
.705,.701,5.33,4.20,0
.700,.694,5.19,4.12,1
.710,.700,5.24,4.26,1
.661,.709,5.33,4.29,0
.666,.710,5.32,4.35,1
.668,.714,5.35,4.34,0
.668,.722,5.39,4.53,1
.668,.720,5.36,4.53,1
.667,.718,5.33,4.53,1
.676,.715,5.32,4.46,0
.674,.718,5.35,4.44,0
.676,.719,5.36,4.44,0
.691,.718,5.15,4.64,0
.691,.714,5.12,4.64,1
.689,.714,5.10,4.61,0
.691,.714,5.04,4.61,1
.694,.714,5.03,4.63,1
.696,.714,5.01,4.64,1
.697,.718,5.03,4.65,0
.681,.716,4.86,2.19,0
.684,.755,5.28,2.74,0
.709,.855,5.06,3.95,0
.708,.854,5.06,3.95,0
.706,.857,5.07,3.95,1
.711,.841,4.98,3.94,1
.711,.842,5.01,3.96,0
.710,.841,5.00,3.94,0
.711,.840,4.94,3.97,1
.714,.836,5.03,4.07,0
.712,.839,5.08,4.05,0
.708,.837,5.06,4.02,0
.705,.832,5.14,4.18,0
.704,.831,5.14,4.16,0
.707,.830,5.13,4.21,1
.708,.833,5.18,4.23,0
.709,.832,5.21,4.18,0
.710,.832,5.20,4.18,1
.711,.720,3.95,2.99,1
.740,.729,4.08,3.43,1
.743,.713,3.95,3.49,1
.734,.745,4.08,3.45,0
.740,.733,3.97,3.51,1
.733,.731,3.99,3.44,0
.730,.737,4.02,3.33,0
.716,.728,3.88,3.52,1
.719,.735,4.00,3.46,0
.716,.743,4.04,3.48,0
