Wops(A),Pops(A),Wera(D),Pera(D),winsW
.785,.735,3.43,3.65,1
.775,.736,3.47,3.58,0
.774,.730,3.38,3.60,1
.764,.734,3.48,3.94,0
.755,.732,3.50,3.88,0
.752,.735,3.52,3.82,0
.684,.670,3.85,4.20,0
.692,.681,4.03,4.30,0
.698,.680,4.00,4.38,1
.698,.685,4.10,4.34,0
.713,.721,4.00,4.25,1
.712,.722,4.00,4.24,0
.711,.721,4.00,4.22,0
.644,.811,4.07,3.69,0
.649,.818,4.24,3.75,0
.647,.810,4.16,3.80,1
.658,.802,4.26,3.86,0
.661,.801,4.21,3.91,1
.655,.799,4.19,3.82,0
.733,.786,4.63,3.78,0
.714,.778,5.39,3.70,1
.714,.790,5.45,3.68,0
.707,.801,5.55,3.62,0
.670,.789,5.32,3.51,0
.673,.790,5.31,3.58,1
.675,.792,5.32,3.58,0
.676,.792,5.33,3.57,0
.746,.772,5.11,3.86,1
.735,.781,5.14,3.70,0
.737,.805,5.35,3.61,0
.739,.806,5.37,3.71,0
.727,.783,5.27,3.74,0
.726,.782,5.28,3.75,0
.732,.780,5.25,3.82,1
