Wops(A),Pops(A),Wera(D),Pera(D),winsW
.880,.791,3.27,2.88,1
.853,.780,3.43,2.64,0
.840,.769,3.31,2.77,1
.734,.721,3.51,3.48,1
.732,.718,3.48,3.47,1
.730,.718,3.47,3.49,1
.707,.590,2.60,3.15,1
.691,.612,2.85,2.97,0
.678,.607,2.80,2.90,0
.714,.696,4.10,4.59,0
.713,.696,4.11,4.57,0
.711,.698,4.14,4.54,0
.711,.701,4.20,4.54,0
.610,.680,4.60,4.11,0
.618,.705,5.02,3.99,0
.613,.691,4.57,3.93,1
.731,.736,4.31,4.71,1
.732,.740,4.37,4.74,0
.733,.741,4.38,4.76,1
.709,.723,5.43,3.90,0
.712,.723,5.41,3.92,1
.708,.722,5.40,3.87,0
.698,.724,5.38,3.96,0
.696,.728,5.40,3.93,0
.693,.723,5.32,3.90,1
.691,.723,5.29,3.87,0
.702,.772,5.12,4.05,0
.701,.771,5.09,4.03,0
.702,.770,5.08,4.05,1
.703,.772,5.10,4.06,0
.709,.781,5.17,4.09,1
.708,.780,5.15,4.07,0
.705,.777,5.12,4.04,0
