Wops(A),Pops(A),Wera(D),Pera(D),winsW
.735,.665,3.52,3.82,1
.729,.669,3.57,3.77,0
.732,.666,3.54,3.82,1
.736,.728,3.80,4.13,0
.738,.726,3.79,4.13,1
.741,.726,3.79,4.15,1
.709,.702,3.38,3.18,0
.696,.711,3.51,3.04,0
.698,.705,3.40,3.04,1
.729,.774,4.18,3.94,1
.728,.771,4.16,3.92,0
.730,.770,4.15,3.94,1
.732,.772,4.18,3.95,0
.716,.748,4.22,4.58,1
.717,.746,4.19,4.60,1
.718,.747,4.21,4.62,1
.723,.743,4.19,4.41,1
.720,.742,4.20,4.39,0
.721,.745,4.20,4.41,0
.724,.742,4.17,4.45,1
.621,.711,3.76,5.61,1
.626,.737,4.25,5.31,0
.614,.724,4.12,4.97,0
.664,.742,5.19,3.98,0
.664,.745,5.20,3.97,0
.659,.742,5.16,3.93,0
.666,.945,6.15,3.93,0
.668,.942,6.14,3.78,0
.693,.932,6.12,3.87,0
.706,.935,6.14,3.98,0
.706,.772,5.05,5.35,1
.712,.768,4.98,5.40,1
.710,.772,5.03,5.35,0
