Wops(A),Pops(A),Wera(D),Pera(D),winsW
.773,.732,3.16,2.84,1
.767,.731,3.22,2.81,0
.719,.718,3.38,2.66,0
.716,.720,3.38,2.65,0
.739,.715,3.48,2.68,0
.740,.786,4.12,4.03,1
.739,.786,4.16,4.02,0
.738,.782,4.11,3.97,1
.736,.780,4.08,3.96,1
.724,.751,4.22,3.77,0
.722,.755,4.26,3.77,0
.724,.758,4.30,3.77,0
.725,.758,4.33,3.78,0
.700,.713,5.57,3.39,0
.704,.712,5.45,3.43,1
.701,.707,5.37,3.41,1
.674,.727,5.30,3.78,0
.673,.729,5.33,3.78,0
.671,.730,5.35,3.76,0
.732,.754,5.12,4.45,1
.732,.764,5.23,4.42,0
.713,.721,4.98,4.05,0
.711,.720,4.98,4.01,0
.705,.714,4.24,3.27,0
.708,.717,4.23,3.37,1
.710,.720,4.30,3.46,0
.700,.699,4.39,3.95,1
.696,.700,4.40,3.86,0
.708,.698,4.38,4.04,1
