Wops(A),Pops(A),Wera(D),Pera(D),winsW
.723,.684,3.53,3.47,1
.723,.683,3.50,3.51,1
.727,.687,3.53,3.58,1
.730,.686,3.53,3.64,1
.731,.703,3.54,3.68,1
.731,.702,3.53,3.69,1
.729,.703,3.53,3.68,0
.720,.731,3.80,3.97,1
.731,.735,3.83,4.11,1
.731,.736,3.81,4.13,1
.712,.721,4.33,4.26,1
.711,.720,4.31,4.24,1
.708,.725,4.36,4.20,0
.707,.724,4.35,4.18,0
.609,.718,3.82,3.64,1
.618,.722,3.85,3.67,1
.615,.737,4.08,3.60,0
.619,.730,3.96,3.64,1
.725,.749,4.52,4.02,0
.726,.747,4.50,4.04,1
.724,.747,4.50,4.03,0
.716,.728,5.46,4.57,0
.716,.730,5.48,4.58,0
.715,.730,5.47,4.55,0
.675,.715,5.28,3.74,0
.675,.718,5.27,3.72,0
.675,.719,5.26,3.71,0
.674,.720,5.25,3.71,0
.738,.801,5.43,2.86,0
.733,.799,5.43,2.82,0
.750,.792,5.29,3.07,1
.737,.782,5.39,2.95,0
.734,.775,5.28,2.97,1
.740,.771,5.17,3.14,1
.734,.766,5.10,3.07,0
