Wops(A),Pops(A),Wera(D),Pera(D),winsW
.771,.669,3.39,4.04,0
.778,.676,3.46,4.08,1
.771,.685,3.52,4.02,0
.776,.682,3.50,4.08,1
.730,.729,3.49,4.07,0
.728,.730,3.50,4.03,0
.730,.726,3.49,4.04,1
.726,.748,4.24,4.48,1
.725,.749,4.27,4.47,0
.724,.750,4.25,4.43,0
.717,.751,4.35,4.43,0
.716,.755,4.39,4.40,0
.713,.754,4.36,4.37,0
.712,.756,4.38,4.36,0
.611,.652,3.02,4.07,0
.610,.665,3.22,3.95,0
.598,.666,3.17,3.79,0
.595,.676,3.29,3.69,0
.713,.745,4.25,4.29,0
.709,.742,4.21,4.24,0
.708,.741,4.20,4.22,1
.701,.682,5.28,4.87,1
.704,.690,5.34,4.85,0
.700,.692,5.32,4.81,0
.701,.695,5.27,4.81,1
.677,.708,5.38,4.89,0
.673,.710,5.35,4.83,0
.672,.709,5.32,4.79,0
.744,.774,5.01,5.52,1
.742,.782,5.03,5.40,0
.740,.801,5.27,5.29,0
.728,.793,5.18,5.08,1
.728,.790,5.21,5.03,0
.726,.791,5.22,4.97,0
.726,.790,5.22,4.90,0
