Wops(A),Pops(A),Wera(D),Pera(D),winsW
.731,.770,3.48,4.16,1
.728,.771,3.51,4.13,0
.732,.772,3.50,4.18,1
.728,.775,3.51,4.00,0
.726,.775,3.54,3.99,0
.727,.775,3.56,4.01,1
.725,.776,3.58,3.99,0
.732,.767,4.13,3.87,0
.732,.772,4.19,3.86,0
.729,.771,4.19,3.84,0
.706,.761,4.35,3.71,0
.707,.759,4.33,3.71,1
.708,.756,4.30,3.75,1
.701,.733,4.22,4.38,1
.701,.733,4.19,4.36,1
.701,.735,4.23,4.33,0
.731,.727,4.61,4.40,0
.734,.726,4.60,4.47,1
.733,.724,4.57,4.44,1
.643,.747,4.63,3.72,0
.656,.742,4.65,3.71,0
.660,.776,5.22,3.79,0
.672,.736,5.31,4.70,1
.674,.737,5.32,4.71,0
.675,.737,5.32,4.71,0
.677,.736,5.30,4.72,1
.712,.694,4.95,4.88,0
.712,.696,4.98,4.88,0
.714,.697,4.99,4.91,1
.712,.705,5.07,4.89,0
.712,.712,4.98,4.86,0
.713,.712,4.97,4.83,0
.710,.713,4.96,4.80,0
