Wops,Nops,Wera,Nera
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
