Wops(A),Pops(A),Wera(D),Pera(D),winsW
.639,.759,3.44,4.13,1
.645,.747,3.37,4.19,1
.639,.742,3.37,4.06,0
.703,.731,3.61,3.79,1
.701,.733,3.62,3.75,0
.703,.733,3.62,3.76,1
.699,.789,4.23,3.70,0
.698,.781,4.20,3.63,0
.703,.774,4.15,3.80,1
.739,.797,4.53,4.42,1
.738,.797,4.52,4.39,0
.736,.800,4.52,4.35,0
.705,.754,4.23,4.91,0
.704,.753,4.21,4.90,1
.705,.750,4.19,4.90,1
.706,.763,4.17,4.92,0
.708,.762,4.15,4.92,1
.708,.761,4.13,4.92,1
.720,.664,4.06,4.84,1
.731,.667,4.15,4.96,1
.743,.662,4.11,5.21,1
.735,.669,3.88,4.87,1
.734,.666,3.85,4.88,1
.732,.670,3.90,4.85,0
.751,.680,4.90,5.59,1
.752,.681,4.83,5.62,1
.746,.690,4.84,5.51,0
.776,.710,4.88,5.54,0
.775,.712,4.92,5.52,0
.776,.715,4.92,5.53,0
.777,.713,4.88,5.53,1
