Wops(A),Pops(A),Wera(D),Pera(D),winsW
.659,.681,3.61,4.60,1
.656,.687,3.67,4.57,0
.649,.692,3.74,4.48,0
.706,.716,3.60,4.41,1
.706,.711,3.56,4.39,1
.710,.709,3.53,4.42,1
.712,.708,3.52,4.45,1
.724,.824,4.58,4.36,0
.735,.823,4.54,4.48,1
.736,.826,4.60,4.49,0
.743,.830,4.38,4.38,1
.740,.830,4.40,4.36,0
.740,.828,4.38,4.37,1
.740,.827,4.38,4.36,0
.709,.753,4.19,3.94,0
.709,.751,4.18,3.96,1
.708,.750,4.15,3.96,1
.692,.744,4.15,3.65,0
.693,.742,4.12,3.67,1
.693,.740,4.10,3.67,1
.805,.831,3.58,2.88,0
.786,.844,3.87,2.72,0
.769,.859,4.03,2.68,0
.733,.786,3.84,3.48,0
.734,.790,3.91,3.50,0
.732,.790,3.92,3.48,0
.764,.814,4.98,4.76,0
.763,.819,5.05,4.76,0
.764,.819,5.04,4.81,1
.764,.818,5.02,4.81,1
.760,.827,5.03,4.65,0
.762,.826,5.01,4.69,1
.762,.826,5.01,4.68,0
