Wops(A),Pops(A),Wera(D),Pera(D),winsW
.702,.685,3.66,4.08,0
.699,.684,3.66,4.05,0
.698,.683,3.64,4.01,0
.698,.683,3.68,4.01,1
.698,.682,3.67,4.01,1
.697,.681,3.64,3.99,1
.696,.683,3.68,3.97,0
.628,.591,3.59,2.84,1
.609,.611,3.72,2.63,0
.590,.613,3.57,2.45,0
.600,.616,3.47,2.49,1
.736,.714,4.47,4.03,1
.732,.711,4.42,4.00,1
.736,.709,4.38,4.05,1
.675,.673,4.05,3.58,1
.678,.676,4.07,3.66,1
.686,.684,4.14,3.84,1
.711,.735,4.20,4.78,0
.713,.734,4.19,4.81,1
.712,.734,4.19,4.80,0
.711,.735,4.20,4.79,0
.729,.701,3.83,4.86,0
.727,.700,3.83,4.83,0
.733,.699,3.81,4.90,1
.739,.703,3.85,4.97,1
.731,.713,4.01,4.79,1
.735,.713,4.01,4.83,1
.733,.711,3.98,4.80,1
.764,.709,5.09,4.85,1
.762,.710,5.10,4.82,0
.763,.710,5.10,4.84,1
.768,.710,5.08,4.87,1
.760,.711,5.05,4.96,1
.762,.711,5.04,4.98,1
.760,.713,5.04,4.95,0
