Wops(A),Pops(A),Wera(D),Pera(D),winsW
.707,.702,3.64,3.86,1
.702,.701,3.61,3.81,0
.700,.701,3.60,3.82,1
.692,.718,3.84,3.80,0
.692,.718,3.88,3.79,0
.692,.720,3.91,3.77,0
.712,.733,4.51,3.77,0
.712,.729,4.49,3.76,1
.712,.732,4.49,3.74,0
.735,.765,4.53,3.86,0
.734,.769,4.61,3.85,0
.730,.770,4.61,3.83,0
.730,.771,4.62,3.83,0
.696,.776,4.16,3.73,0
.697,.780,4.22,3.73,0
.696,.779,4.21,3.70,0
.714,.790,4.18,3.35,0
.715,.791,4.19,3.36,0
.714,.790,4.19,3.35,0
.714,.666,3.69,3.18,0
.800,.601,3.42,5.36,1
.758,.559,3.03,4.64,1
.740,.773,3.99,3.96,1
.736,.772,3.98,3.93,0
.736,.772,3.98,3.92,0
.773,.750,4.91,3.76,0
.771,.751,4.92,3.74,0
.769,.754,4.94,3.72,0
.759,.759,5.05,3.69,0
.757,.760,5.07,3.67,0
.757,.761,5.06,3.66,0
