Wops(A),Pops(A),Wera(D),Pera(D),winsW
.663,.755,3.67,3.79,1
.663,.749,3.59,3.76,1
.672,.754,3.64,3.85,1
.671,.750,3.59,3.83,1
.698,.764,3.86,4.54,1
.695,.765,3.88,4.51,0
.694,.762,3.85,4.49,1
.699,.748,4.21,4.49,1
.715,.752,4.30,4.63,1
.708,.751,4.28,4.54,0
.729,.765,4.57,4.22,0
.729,.764,4.54,4.21,1
.730,.762,4.50,4.22,1
.660,.743,4.27,4.71,0
.669,.734,4.16,4.76,1
.669,.734,4.15,4.71,0
.670,.728,4.08,4.70,1
.700,.762,4.08,4.61,1
.694,.760,4.07,4.53,0
.698,.764,4.07,4.64,1
.739,.722,3.74,4.30,0
.749,.724,3.71,4.37,1
.745,.723,3.76,4.30,0
.742,.727,3.80,4.26,0
.737,.672,3.96,4.35,1
.740,.673,3.97,4.39,1
.742,.670,3.94,4.41,1
.728,.673,4.96,4.33,1
.727,.681,5.09,4.29,0
.746,.674,4.95,4.55,1
.775,.668,4.88,5.14,0
.776,.668,4.85,5.14,1
.774,.670,4.88,5.10,0
