Wops(A),Pops(A),Wera(D),Pera(D),winsW
.659,.634,4.19,3.06,1
.633,.634,4.22,2.80,0
.635,.634,4.15,2.81,0
.642,.734,3.80,3.44,0
.638,.723,3.67,3.40,1
.642,.725,3.75,3.45,0
.639,.712,3.66,3.45,1
.688,.733,3.77,3.67,1
.688,.739,3.87,3.66,0
.684,.734,3.81,3.61,1
.716,.736,3.58,3.53,0
.716,.738,3.61,3.52,0
.713,.737,3.60,3.49,0
.693,.733,3.89,3.39,1
.693,.733,3.88,3.39,1
.693,.734,3.89,3.39,0
.692,.739,3.97,3.52,0
.692,.739,3.96,3.53,1
.692,.739,3.95,3.54,1
.707,.708,4.24,4.43,1
.702,.709,4.23,4.38,0
.704,.712,4.27,4.34,0
.718,.730,4.40,4.03,0
.715,.731,4.38,4.01,0
.714,.733,4.37,3.98,0
.721,.742,4.46,3.97,0
.719,.745,4.50,3.92,0
.721,.748,4.57,3.91,0
.740,.739,4.36,3.77,0
.738,.742,4.39,3.76,0
.738,.749,4.47,3.75,0
.724,.738,4.39,3.96,1
.726,.737,4.39,4.00,1
.726,.736,4.37,4.04,1
.726,.738,4.37,4.02,0
.728,.737,4.31,4.06,1
.726,.737,4.30,4.04,0
.726,.735,4.28,4.06,1
.665,.747,4.52,3.29,0
.673,.754,4.35,3.41,1
.669,.764,4.42,3.26,0
.664,.753,4.31,3.12,0
.677,.790,4.40,3.63,0
.671,.786,4.29,3.56,1
.673,.783,4.31,3.54,0
.703,.812,4.07,3.63,1
.697,.813,4.06,3.57,0
.701,.813,4.09,3.71,1
.707,.838,4.10,4.07,0
.707,.837,4.10,4.10,1
.708,.837,4.13,4.11,0
.712,.826,4.21,4.26,0
.715,.823,4.19,4.29,1
.714,.823,4.19,4.28,0
.712,.820,4.19,4.18,0
.711,.820,4.20,4.17,0
.713,.820,4.21,4.18,1
.742,.735,3.98,2.21,1
.748,.748,4.11,2.44,1
.735,.748,4.16,2.43,0
.762,.742,3.81,2.48,1
.762,.737,3.82,2.49,0
.754,.732,3.73,2.44,0
.724,.767,3.80,2.91,0
.723,.766,3.83,2.88,0
.730,.766,3.82,2.99,1
.740,.761,4.08,3.13,0
.739,.762,4.10,3.13,0
.736,.760,4.09,3.11,0
.735,.761,4.09,3.14,1
.733,.759,4.06,3.14,1
.731,.759,4.05,3.13,0
.730,.759,4.05,3.13,0
.728,.758,4.15,3.15,0
.728,.759,4.18,3.15,0
.726,.760,4.20,3.14,0
.731,.822,4.90,3.57,0
.730,.831,5.05,3.59,0
.774,.810,4.88,3.84,1
.770,.810,4.87,3.80,0
.775,.816,4.94,3.86,0
.783,.817,4.85,3.94,1
.784,.816,4.82,3.96,1
.782,.818,4.88,3.94,0
.781,.818,4.89,3.91,0
.766,.835,5.03,3.71,0
.766,.836,5.03,3.70,0
.765,.837,5.08,3.69,0
.751,.849,5.12,3.71,0
.752,.848,5.11,3.74,1
.752,.851,5.16,3.74,0
.749,.848,5.10,3.68,1
.746,.847,5.09,3.66,0
.745,.846,5.10,3.65,0
.746,.848,5.12,3.66,0
.743,.744,5.25,3.49,0
.727,.751,5.04,3.52,1
.713,.754,4.83,3.49,0
.720,.742,5.30,4.04,0
.716,.741,5.39,4.04,0
.728,.744,5.41,4.29,1
.734,.755,5.00,4.10,1
.749,.760,5.13,4.29,1
.750,.760,5.16,4.38,1
.755,.760,5.15,4.51,1
