Wops(A),Pops(A),Wera(D),Pera(D),winsW
.597,.926,2.83,2.25,0
.583,.932,3.48,2.60,0
.577,.936,4.25,2.50,0
.698,.728,3.66,3.59,1
.697,.728,3.66,3.57,0
.699,.731,3.71,3.55,0
.698,.729,3.71,3.54,0
.628,.709,3.51,3.16,1
.646,.718,3.53,3.43,1
.650,.720,3.46,3.47,1
.738,.722,4.44,4.27,1
.743,.718,4.40,4.36,1
.744,.718,4.42,4.36,0
.738,.634,5.10,4.22,0
.716,.638,4.97,4.01,0
.686,.623,4.69,3.68,0
.698,.704,4.10,4.23,0
.694,.706,4.08,4.18,0
.699,.699,4.02,4.26,1
.701,.701,4.07,4.24,0
.828,.615,3.22,4.39,1
.826,.626,3.21,4.44,1
.825,.623,3.19,4.41,1
.745,.711,3.70,5.47,1
.742,.703,3.64,5.41,1
.745,.702,3.63,5.39,1
.736,.669,3.80,5.20,0
.731,.743,4.71,5.28,1
.728,.754,4.88,5.23,0
.726,.745,4.82,5.30,1
.764,.736,4.84,5.27,1
.766,.732,4.80,5.28,1
.761,.731,4.78,5.19,0
