Wops(A),Pops(A),Wera(D),Pera(D),winsW
.711,.753,3.62,3.35,0
.708,.752,3.62,3.32,0
.707,.753,3.63,3.32,0
.694,.747,3.91,3.39,0
.694,.747,3.92,3.39,0
.694,.746,3.91,3.39,1
.698,.692,4.24,3.54,1
.688,.702,4.24,3.48,0
.696,.700,4.16,3.58,1
.703,.696,4.16,3.67,1
.708,.785,4.10,3.31,1
.705,.783,4.10,3.27,0
.704,.780,4.08,3.25,1
.701,.781,4.09,3.23,0
.726,.760,3.87,3.57,1
.723,.757,3.86,3.54,0
.723,.755,3.85,3.55,1
.729,.752,3.81,3.48,0
.730,.752,3.80,3.49,1
.729,.754,3.81,3.49,0
.773,.806,5.04,3.30,1
.772,.808,5.01,3.33,1
.779,.818,4.89,3.33,1
.778,.815,4.86,3.32,1
.739,.772,4.62,2.40,0
.730,.770,4.61,2.46,0
.734,.778,4.77,2.49,0
.769,.821,5.05,3.04,0
.769,.822,5.10,3.08,0
.762,.821,5.09,3.02,0
