Wops(A),Pops(A),Wera(D),Pera(D),winsW
.714,.699,3.48,3.88,1
.717,.698,3.47,3.87,1
.712,.697,3.46,3.83,0
.695,.707,3.95,4.17,1
.692,.706,3.93,4.15,1
.694,.704,3.92,4.16,1
.692,.707,3.95,4.13,0
.647,.594,3.84,3.65,0
.644,.634,4.08,3.68,0
.617,.644,3.89,3.44,0
.711,.704,4.52,5.15,0
.716,.704,4.51,5.16,1
.718,.700,4.47,5.21,1
.694,.748,4.03,4.59,0
.695,.754,4.15,4.60,0
.701,.751,4.12,4.65,1
.699,.750,4.10,4.60,0
.697,.740,4.18,4.88,0
.699,.742,4.20,4.86,0
.698,.740,4.16,4.83,1
.779,.735,3.93,4.77,1
.777,.740,3.96,4.74,0
.772,.736,3.95,4.65,0
.769,.730,3.88,4.59,1
.744,.720,3.60,4.24,1
.742,.716,3.56,4.20,1
.741,.722,3.62,4.20,0
.753,.826,4.82,3.77,1
.753,.823,4.82,3.75,0
.763,.827,4.90,3.83,0
.754,.837,4.74,3.84,0
.750,.838,4.81,3.82,0
.754,.856,5.04,3.89,0
