Wops(A),Pops(A),Wera(D),Pera(D),winsW
.683,.731,3.75,3.80,0
.681,.733,3.83,3.77,0
.680,.735,3.88,3.73,0
.684,.755,3.71,4.09,1
.686,.751,3.67,4.07,1
.685,.752,3.66,4.03,0
.715,.681,4.33,4.15,0
.712,.684,4.36,4.13,0
.719,.696,4.47,4.17,0
.718,.700,4.50,4.15,0
.730,.714,4.62,4.29,0
.728,.713,4.62,4.26,0
.727,.711,4.59,4.25,1
.699,.827,4.10,3.55,0
.698,.822,4.06,3.52,1
.702,.824,4.06,3.58,1
.706,.816,4.05,3.77,1
.706,.819,4.11,3.78,0
.708,.816,4.12,3.81,1
.729,.819,4.10,3.87,0
.725,.822,4.20,3.77,0
.715,.812,4.13,3.67,0
.738,.812,3.63,3.84,0
.743,.811,3.64,3.94,1
.740,.806,3.64,3.88,0
.712,.781,4.74,3.58,0
.712,.795,4.84,3.60,0
.716,.784,4.85,3.62,0
.724,.783,4.85,3.89,1
.754,.834,5.10,4.35,0
.754,.833,5.08,4.34,1
.752,.834,5.11,4.32,0
