Wops(A),Pops(A),Wera(D),Pera(D),winsW
.621,.774,4.30,2.71,0
.657,.757,4.06,3.36,1
.641,.774,4.40,3.27,0
.625,.760,4.11,3.16,1
.639,.730,3.86,3.43,0
.641,.724,3.82,3.55,1
.650,.724,3.83,3.65,1
.692,.711,3.83,3.62,1
.691,.706,3.76,3.58,1
.685,.706,3.80,3.53,0
.691,.719,3.78,3.55,1
.688,.720,3.79,3.51,0
.687,.719,3.78,3.49,0
.692,.702,3.96,3.63,0
.693,.701,3.95,3.65,1
.694,.702,3.95,3.69,1
.697,.708,3.92,4.11,1
.699,.707,3.90,4.14,1
.703,.706,3.88,4.16,0
.567,.617,4.00,2.59,1
.599,.617,4.00,2.85,1
.618,.594,3.67,3.07,1
.715,.698,4.44,4.70,0
.719,.695,4.39,4.73,1
.717,.690,4.32,4.69,1
.715,.693,4.38,4.63,0
.715,.697,4.42,4.60,0
.718,.700,4.45,4.58,0
.721,.702,4.47,4.61,1
.740,.708,4.38,4.66,1
.742,.710,4.38,4.69,1
.744,.712,4.41,4.69,0
.743,.695,4.47,4.60,1
.741,.693,4.47,4.58,0
.738,.694,4.47,4.55,0
.725,.698,4.35,4.47,1
.727,.697,4.32,4.49,1
.728,.698,4.33,4.51,1
.649,.941,4.50,2.00,0
.694,.912,5.29,4.50,1
.743,.750,3.46,4.67,1
.658,.715,3.97,3.50,0
.648,.715,4.06,4.03,1
.658,.723,4.10,4.15,1
.656,.705,3.97,4.07,1
.670,.711,4.25,4.27,0
.675,.714,4.22,4.35,1
.668,.712,4.19,4.25,0
.706,.732,4.17,4.67,1
.704,.731,4.16,4.62,0
.707,.736,4.22,4.65,0
.708,.743,4.10,4.66,1
.709,.743,4.09,4.68,1
.713,.744,4.12,4.73,1
.718,.745,4.20,4.80,1
.718,.748,4.21,4.82,1
.717,.748,4.21,4.80,0
.863,.862,5.23,4.09,0
.702,.712,3.26,3.15,1
.741,.704,3.18,4.34,1
.764,.666,3.38,4.74,1
.797,.762,3.72,4.39,1
.786,.771,4.07,4.25,0
.787,.741,3.78,4.45,1
.745,.721,3.70,4.05,1
.742,.722,3.74,4.05,0
.742,.721,3.76,4.05,0
.741,.747,3.93,3.83,1
.739,.750,3.95,3.80,0
.740,.752,3.99,3.83,0
.733,.758,3.99,3.81,1
.730,.758,4.03,3.78,0
.729,.763,4.10,3.78,0
.728,.765,4.14,3.82,1
.726,.766,4.15,3.80,0
.726,.764,4.15,3.81,1
.385,.728,4.50,4.20,0
.560,.710,3.18,4.62,1
.528,.693,3.60,3.94,0
.508,.687,3.27,3.47,0
.758,.755,5.01,4.01,0
.755,.756,4.99,4.05,1
.758,.758,5.01,4.15,1
.763,.750,4.94,4.12,0
.768,.754,5.01,4.22,1
.767,.754,5.03,4.21,0
.779,.759,4.86,4.19,1
.776,.759,4.89,4.15,0
.771,.759,4.88,4.10,0
.770,.761,4.89,4.09,0
.763,.773,5.02,4.06,0
.760,.773,5.01,4.03,0
.760,.774,5.05,4.03,0
.752,.779,5.14,4.03,1
.751,.780,5.12,4.01,0
.596,.851,5.79,1.80,0
.596,.660,3.44,2.84,1
.596,.679,4.44,3.21,0
.604,.664,4.19,2.43,0
.731,.710,4.61,3.10,1
.753,.696,4.35,3.27,1
.746,.712,4.54,3.31,0
.734,.751,5.29,3.60,0
.728,.747,5.20,3.54,1
.726,.741,5.08,3.54,0
