Wops(A),Pops(A),Wera(D),Pera(D),winsW
.460,.896,4.50,1.00,0
.479,.550,2.12,1.50,1
.589,.635,2.42,2.33,1
.632,.692,3.86,4.26,0
.638,.692,3.86,4.31,1
.641,.692,3.83,4.31,1
.685,.669,3.80,3.79,0
.684,.668,3.77,3.79,1
.683,.666,3.74,3.78,1
.706,.676,3.63,3.77,0
.711,.677,3.63,3.81,1
.707,.678,3.65,3.76,0
.710,.678,3.64,3.82,1
.691,.722,3.93,4.18,0
.691,.722,3.93,4.18,1
.691,.722,3.92,4.16,0
.695,.726,3.95,4.18,1
.696,.725,3.94,4.17,1
.697,.724,3.93,4.17,1
.597,.686,3.54,3.35,0
.606,.683,3.45,3.41,1
.609,.694,3.69,3.44,0
.683,.744,4.23,3.22,1
.698,.744,4.31,3.38,1
.695,.733,4.19,3.37,1
.742,.758,4.43,4.02,0
.744,.761,4.47,4.04,0
.741,.759,4.46,4.00,0
.729,.758,4.61,3.92,0
.731,.757,4.61,3.95,1
.732,.756,4.61,3.94,0
.733,.757,4.60,3.96,1
.736,.751,4.48,4.14,0
.740,.752,4.47,4.18,1
.741,.751,4.45,4.18,1
.736,.762,4.47,4.12,0
.732,.763,4.47,4.09,0
.730,.762,4.45,4.07,0
.707,.474,3.35,3.35,1
.755,.502,3.46,3.69,1
.791,.535,3.98,4.62,1
.672,.718,3.92,4.68,1
.678,.730,4.08,4.77,0
.674,.745,4.33,4.70,0
.698,.759,4.16,4.62,0
.698,.754,4.11,4.62,1
.695,.753,4.12,4.60,0
.705,.742,4.18,4.46,1
.706,.743,4.18,4.46,1
.706,.745,4.17,4.47,1
.706,.743,4.15,4.46,1
.716,.743,4.21,4.47,0
.714,.745,4.24,4.44,0
.715,.744,4.23,4.44,1
.712,.748,4.20,4.45,1
.712,.750,4.21,4.44,0
.712,.749,4.20,4.46,1
.747,.745,3.99,4.65,1
.757,.752,4.09,4.72,0
.766,.749,4.03,4.82,1
.742,.738,3.65,3.84,0
.740,.746,3.67,3.82,0
.746,.752,3.74,3.86,0
.729,.740,3.90,3.89,0
.732,.742,3.89,3.90,1
.729,.743,3.89,3.87,0
.728,.739,3.84,3.95,1
.723,.738,3.83,3.90,0
.729,.737,3.81,3.99,1
.738,.728,3.84,3.97,1
.742,.728,3.85,4.04,1
.742,.731,3.89,4.05,0
.732,.720,3.96,4.14,0
.730,.719,3.96,4.11,0
.731,.721,3.98,4.12,0
.732,.720,3.97,4.12,1
.512,.910,3.95,3.68,0
.481,.876,3.67,3.36,0
.685,.848,4.83,4.34,0
.688,.850,4.84,4.29,0
.703,.853,4.90,4.32,0
.727,.859,4.95,4.44,1
.764,.773,4.97,5.23,1
.762,.771,4.96,5.19,0
.766,.768,4.93,5.19,1
.772,.766,4.90,5.29,1
.763,.769,5.04,5.23,0
.774,.768,5.01,5.33,1
.772,.776,5.07,5.29,0
.778,.763,4.89,5.20,1
.782,.761,4.85,5.25,1
.782,.762,4.83,5.26,1
.775,.763,4.95,5.30,0
.774,.761,4.92,5.27,1
.778,.761,4.90,5.31,1
.706,.722,3.53,8.12,1
.733,.755,4.47,7.74,0
.714,.770,4.99,7.02,0
.716,.671,4.66,6.00,1
.718,.695,4.90,6.00,0
.721,.677,4.60,6.00,1
.732,.689,5.31,5.32,1
.748,.691,5.24,5.66,1
.741,.687,5.09,5.50,0
.732,.689,5.01,5.38,0
