Wops(A),Pops(A),Wera(D),Pera(D),winsW
.680,.700,3.58,3.44,1
.677,.698,3.62,3.39,0
.682,.699,3.66,3.42,0
.685,.683,3.84,3.30,1
.682,.685,3.85,3.28,0
.688,.682,3.82,3.33,1
.686,.704,3.89,3.61,0
.680,.699,3.86,3.55,0
.673,.700,3.83,3.46,0
.736,.731,4.60,4.47,0
.741,.734,4.60,4.58,1
.741,.733,4.57,4.57,1
.740,.730,4.53,4.57,1
.695,.755,4.09,3.75,1
.698,.748,4.00,3.76,1
.695,.752,4.03,3.72,0
.693,.751,4.00,3.65,0
.691,.770,4.17,4.13,0
.692,.773,4.19,4.12,0
.692,.772,4.18,4.12,1
.748,.737,3.78,4.46,0
.746,.746,3.85,4.43,0
.743,.742,3.79,4.39,0
.742,.740,3.75,4.37,1
.744,.724,3.95,3.92,0
.742,.727,3.99,3.90,0
.738,.726,3.99,3.88,0
.772,.773,4.98,2.98,1
.770,.776,5.05,2.98,0
.770,.772,5.02,3.01,1
.771,.775,5.04,3.02,0
.757,.762,5.10,3.65,0
.755,.760,5.09,3.63,0
.756,.759,5.08,3.65,1
